"RelativePath","Bytes","SHA256"
"build_v4_snapshot.ps1","8832","2596F255F348E1100692CCF6BB901366A4383CD6C84850CA8E7F4AC8F21353A7"
"chapter5_preparation\assets\figure_ch5_all_channel_48h.png","114354","C110A8A4B1D3B57D2E908DCE50F97A677B7B139EA124D7B968B28BC3E71F4F12"
"chapter5_preparation\chapter5_readiness_report.csv","3369","2B13499FC144B21EF44B0EBD2C2860205F307FC8F0C31A83679EA2FCF089391C"
"chapter5_preparation\render_v4_results.py","18654","C1517F1C4236762AA7FEA154B7A4112D33C8CFC7B3F1C5D73F1CDB6B02428416"
"chapter5_preparation\render_validation_figures.py","287","3525BC0F26D12DE6CA021BE056DBFB536EEDFFC0B3CA95802713B6C4D7AB5D5E"
"chapter5_preparation\run_all_channel_validation_v4.m","5621","37922FF450BFF58DDECB40D59DF5B18C324CDC80ED42D2423908FA0D2DC2303E"
"chapter5_preparation\run_chapter5_readiness_audit.m","7374","D71D40984EB7788F48879058C71D6AF9A01FBCA1D38C53A79EA8C52B55ECCD8E"
"chapter5_preparation\第5章典型场景验证与四方案对比准备.md","17082","24D34F1E6137396E80B440F5BBBF270D71812E65A21B619C7E3BAB18842EFBEE"
"integration\common\v4_fill_port.m","933","A3FD70C296B0F2C414A700B1E275685103EF4BE2962CA049D692699F3BFA078A"
"library\4.1边界与口径\4.1系统边界与统一建模口径_V2.0_冻结版.md","12460","DF1272C96894B05AECD721A4661A95DC4937B1CE30E37001062F658E42AD2A1E"
"library\4.1边界与口径\蓝海枢纽_4.1边界与口径冻结表_V1.0.docx","42250","4D048778D676F10BA5B76254031E20518A6FFC95E0FE2B674A9379C2A6F66723"
"library\4.2变量与接口\4.1-4.2公共标准冻结说明_V2.0.md","3128","5D232EB67C838EFB0092DFB6E24E24AF8B609D465DA7A21A74BB7E885A825226"
"library\4.2变量与接口\4.2第四章全量变量与接口字典_V2.0_冻结版.md","17601","A14A25520DB4F59BBB5D7C45AED7065C453E24D59762BBFCA8B56DC4E3F701FC"
"library\4.2变量与接口\4.2冻结标准验收结果_V2.mat","1104","BC583724C605B562117F367D474AC7520966AD24A9CBD53BBFD8AF841915DDB6"
"library\4.2变量与接口\4.2算力接口语义增补_V2.0.md","1540","635E2188ADD6EFB50E3B162CBE034D6B33539F9EFEC6F768EA598029C8FE5A13"
"library\4.2变量与接口\4.3-4.7去重与验收清单.md","21198","0108F9AFF20B83DBEE4D2895C649714225844B472284A0A09EA4649B7033F349"
"library\4.2变量与接口\common_config_4_2.m","14929","635196E03D93B7C4567AA6707A0861747E9D00A6A42293ED607B624192CC1F15"
"library\4.2变量与接口\common_dispatch_port_4_2.m","847","49ABF6A4CDB069E16E6C7766B4CA27BF4AA8249945B7599736CF66041B6B355A"
"library\4.2变量与接口\common_packet_4_2.m","1656","9D0405E23F3DDECC80F3A8D7BB84D29745465DB3065C4893EBCDFABB90D6A69C"
"library\4.2变量与接口\demo_validate_common_schema_4_2.m","867","90E84D8752CBB9169A28980D70353048BEA0527FF1D6E9018FF13A9126F72C1F"
