scenarioId,category,indicator,value,unit,dataSourceType,calibrationStatus
asset_switch_C,energy,sourceEnergyMWh,11937.580592218,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,storage,bessChargeEnergyMWh,15.3019390581717,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,storage,bessDischargeEnergyMWh,13.81,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,storage,bessInitialSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,storage,bessFinalSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,hydrogen,electrolyzerEnergyMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,hydrogen,h2ProducedKg,0,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,hydrogen,h2DeliveredKg,0,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,hydrogen,h2DeliveryRatio,NaN,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,compute,computeFacilityEnergyMWh,2662.5696308077,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,compute,computeDeliveredMWhCS,2456.70494333352,MWh-CS,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,compute,computeGrossRevenueCNY,11923161.1768057,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,compute,computeSLAPenaltyCNY,11814121.1443839,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,marine,marineDemandMWh,432,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,marine,marineServedMWh,426.6,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,marine,marineUnservedMWh,5.4,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,marine,marineServiceRatio,0.9875,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,electricity,exportSendMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,electricity,electricityDeliveredMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,electricity,cableDeliveryRatio,NaN,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,reliability,spillEnergyMWh,8771.00902235213,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,reliability,renewableUtilization,0.285587796323949,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,economic,totalCostCNY,22045895.2687025,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_C,economic,totalRevenueCNY,12051141.1768057,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
