export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,20.8545987943866,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,12.6,0,0,0,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
0,18,18,0,0,110.720470206324,120
