assetName,scenarioEnabled,enabled,unit,interfaceLimit,installedCapacity,secondaryInstalledCapacity,secondaryUnit,dispatchRequestPeak,actualPeak,periodQuantity,equivalentFullLoadHours,periodUtilizationFraction,peakUtilizationFraction,idleFraction,capexCNY,capexShare,capacityStatus,designDetail
floatingWind,1,1,MW,680,680,NaN,,NaN,638.951741927929,11002.1625764226,16.1796508476802,0.674152118653343,0.939634914599896,0.325847881346657,13600000000,0.772649144325254,MATCHED_OR_SCENARIO_DEPENDENT,""
marineFloatingPV,1,1,MW,80,80,NaN,,NaN,76,546.276773960337,6.82845967450421,0.284519153104342,0.95,0.715480846895658,641287520,0.0364331068819459,MATCHED_OR_SCENARIO_DEPENDENT,""
tidalStream,1,1,MW,40,40,NaN,,NaN,36,389.141241835113,9.72853104587784,0.40535546024491,0.9,0.59464453975509,2173856000,0.123502057226935,MATCHED_OR_SCENARIO_DEPENDENT,""
BESS,1,1,MW,80,80,160,MWh,15.3019390581717,15.3019390581717,13.81,0.172625,0.00719270833333333,0.191274238227147,0.992807291666667,455966296,0.0259045565033497,LOW_PERIOD_UTILIZATION,"power/energy pair"
PEMElectrolyzer,1,1,MW,100,100,NaN,,100,100,2222.56972231941,22.2256972231941,0.926070717633085,1,0.0739292823669145,716693150,0.0407170844920052,MATCHED_OR_SCENARIO_DEPENDENT,""
hydrogenStorage,1,1,kg,200000,1761.4937466972,NaN,,0,0,0,NaN,0,0,1,13976703.1883037,0.000794050570509624,PROCESS_BUFFER_OR_DYNAMIC_INVENTORY_SIZING,"max(process buffer 1761.494 kg at 1.00 h, committed inventory 0.000 kg)"
subseaCompute,0,0,MW,120,121.88928008,113.28,MW-IT,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"16 units x 7.618080 MW facility"
powerExportCable,0,0,MW,200,200,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"320 kV; 200 km"
converterAndSubstation,0,0,MW,200,200,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"320 kV; 200 km"
fiberCable,0,0,MWh-CS/h,120,120,NaN,,0,0,0,0,0,0,1,0,0,DISABLED_ZERO_COST,"fiber delivery channel"
