assetName,scenarioEnabled,enabled,unit,interfaceLimit,installedCapacity,secondaryInstalledCapacity,secondaryUnit,dispatchRequestPeak,actualPeak,periodQuantity,equivalentFullLoadHours,periodUtilizationFraction,peakUtilizationFraction,idleFraction,capexCNY,capexShare,capacityStatus,designDetail
floatingWind,1,1,MW,680,680,NaN,,NaN,638.692921342484,9707.87823746342,14.2762915256815,0.297422740118365,0.939254296091889,0.702577259881635,13600000000,0.515825507645658,MATCHED_OR_SCENARIO_DEPENDENT,""
marineFloatingPV,1,1,MW,80,80,NaN,,NaN,76,600.646804154755,7.50808505193444,0.156418438581968,0.95,0.843581561418032,641287520,0.0243229750405018,MATCHED_OR_SCENARIO_DEPENDENT,""
tidalStream,1,1,MW,40,40,NaN,,NaN,36,365.902448267295,9.14756120668237,0.190574191805883,0.9,0.809425808194117,2173856000,0.0824507628491588,MATCHED_OR_SCENARIO_DEPENDENT,""
BESS,1,1,MW,80,80,160,MWh,48.6624721550813,48.6624721550813,48.295517595721,0.603693969946513,0.012576957707219,0.608280901938517,0.987423042292781,455966296,0.0172940475076111,LOW_PERIOD_UTILIZATION,"power/energy pair"
PEMElectrolyzer,1,1,MW,100,100,NaN,,100,100,2152.44561006169,21.5244561006169,0.448426168762851,1,0.551573831237149,716693150,0.027182985876832,MATCHED_OR_SCENARIO_DEPENDENT,""
hydrogenStorage,1,1,kg,200000,1761.4937466972,NaN,,0,0,0,NaN,0,0,1,13976703.1883037,0.000530113236567605,PROCESS_BUFFER_OR_DYNAMIC_INVENTORY_SIZING,"max(process buffer 1761.494 kg at 1.00 h, committed inventory 0.000 kg)"
subseaCompute,1,1,MW,120,121.88928008,113.28,MW-IT,120,120,3621.21544807826,29.7090560031328,0.618938666731934,0.984500030857841,0.381061333268066,4632661044.48,0.175709171692585,MATCHED_OR_SCENARIO_DEPENDENT,"16 units x 7.618080 MW facility"
powerExportCable,1,1,MW,200,200,NaN,,200,200,2596.03186518731,12.9801593259366,0.270419985957012,1,0.729580014042988,1350771494.47228,0.0512325288124595,MATCHED_OR_SCENARIO_DEPENDENT,"320 kV; 200 km"
converterAndSubstation,1,1,MW,200,200,NaN,,200,200,2596.03186518731,12.9801593259366,0.270419985957012,1,0.729580014042988,2726151290,0.103398409785523,MATCHED_OR_SCENARIO_DEPENDENT,"320 kV; 200 km"
fiberCable,1,1,MWh-CS/h,120,120,NaN,,110.72047559473,110.72047559473,3340.63257735572,27.8386048112977,0.579970933568702,0.922670629956083,0.420029066431298,54141500,0.00205349755310275,MATCHED_OR_SCENARIO_DEPENDENT,"fiber delivery channel"
