scenarioId,category,item,value,unit,dataStatus
chapter5_all_channel_48h,cost,depreciationCostCNY,6514888.94484788,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,financingCostCNY,8704846.37359993,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,fixedOMCostCNY,4585268.34825099,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,replacementReserveCostCNY,2412043.58816097,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,sourceVariableOMCostCNY,213488.549797709,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,bessDegradationCostCNY,1448.86552787163,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,bessOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenVariableCostCNY,132703.181878032,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenPipeTransportCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenShipTransportCostCNY,113745.584466885,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,electrolyzerStartCostCNY,80000,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,spillPenaltyCNY,66927.5880518249,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,unservedPenaltyCNY,528756.368224214,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,computeSLAPenaltyCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,computeVariableOMCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,electricityRevenueCNY,828757.212642397,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,hydrogenRevenueCNY,1053769.42665708,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,computeGrossRevenueCNY,19860388.1853775,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,marineServiceRevenueCNY,243337.308953274,CNY,[模型仿真结果；参数含假设值]
