scenarioId,category,indicator,value,unit,dataSourceType,calibrationStatus
chapter5_all_channel_48h,energy,sourceEnergyMWh,10674.4274898855,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessChargeEnergyMWh,120.881459939857,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessDischargeEnergyMWh,48.295517595721,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessInitialSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessFinalSOC,0.9,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,electrolyzerEnergyMWh,2152.44561006169,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2ProducedKg,37915.194822295,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2DeliveredKg,37156.8909258491,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2DeliveryRatio,0.98,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeFacilityEnergyMWh,3621.21544807826,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeDeliveredMWhCS,3340.63257735572,MWh-CS,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeGrossRevenueCNY,19860388.1853775,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeSLAPenaltyCNY,0,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineDemandMWh,864,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineServedMWh,811.124363177579,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineUnservedMWh,52.8756368224214,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineServiceRatio,0.938801346270346,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,exportSendMWh,2596.03186518731,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,electricityDeliveredMWh,2388.34931597233,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,cableDeliveryRatio,0.92,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,spillEnergyMWh,1338.5517610365,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,renewableUtilization,0.87761348229294,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,totalCostCNY,23354117.3928063,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,totalRevenueCNY,21986252.1336303,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,economicNetCostCNY,1367865.25917601,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,environment,lifecycleEmissionKgCO2e,198119.188161809,kgCO2e,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,EENSMWh,52.8756368224214,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,maxAbsBusResidualMW,5.95634652711396e-14,MW,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,terminalBessSOC,0.9,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,terminalH2InventoryKg,0,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,lifecycle_economic,grossCapexCNY,26365504998.1406,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
