scenarioId,category,item,value,unit,dataStatus
unified_24h_mixed,cost,depreciationCostCNY,3257444.47242394,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,financingCostCNY,4352423.18679996,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,fixedOMCostCNY,2292634.17412549,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,replacementReserveCostCNY,1206021.79408048,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,sourceVariableOMCostCNY,238751.61184436,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,bessDegradationCostCNY,414.3,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,bessOpeningInventoryCostCNY,4.9311665861751e-12,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,hydrogenVariableCostCNY,135600.755119734,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,hydrogenOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,hydrogenPipeTransportCostCNY,58114.609337029,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,hydrogenShipTransportCostCNY,0,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,electrolyzerStartCostCNY,60000,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,spillPenaltyCNY,135949.228569748,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,unservedPenaltyCNY,54000,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,computeSLAPenaltyCNY,11814121.1443839,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,cost,computeVariableOMCNY,0,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,revenue,electricityRevenueCNY,1229897.70397861,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,revenue,hydrogenRevenueCNY,1087766.01172677,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,revenue,computeGrossRevenueCNY,11923161.1768057,CNY,[模型仿真结果；参数含假设值]
unified_24h_mixed,revenue,marineServiceRevenueCNY,127980,CNY,[模型仿真结果；参数含假设值]
