scenarioId,category,indicator,value,unit,dataSourceType,calibrationStatus
unified_24h_mixed,energy,sourceEnergyMWh,11937.580592218,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,storage,bessChargeEnergyMWh,15.3019390581717,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,storage,bessDischargeEnergyMWh,13.81,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,storage,bessInitialSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,storage,bessFinalSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,hydrogen,electrolyzerEnergyMWh,2199.44424804209,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,hydrogen,h2ProducedKg,38743.0728913527,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,hydrogen,h2DeliveredKg,38355.6421624392,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,hydrogen,h2DeliveryRatio,0.99,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,compute,computeFacilityEnergyMWh,2662.5696308077,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,compute,computeDeliveredMWhCS,2456.70494333352,MWh-CS,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,compute,computeGrossRevenueCNY,11923161.1768057,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,compute,computeSLAPenaltyCNY,11814121.1443839,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,marine,marineDemandMWh,432,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,marine,marineServedMWh,426.6,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,marine,marineUnservedMWh,5.4,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,marine,marineServiceRatio,0.9875,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
unified_24h_mixed,electricity,exportSendMWh,3852.58020291507,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
