export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
161.576014398214,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
199.86204100366,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
4.02476920413619e-06,18,18,0,0,20.8545987943866,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
0,18,12.6,0,0,0,120
15.3019430348505,18,18,1751.7042107115,1751.7042107115,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
20.3744563457954,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
55.4657441077847,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
200,18,18,1761.4937466972,1761.4937466972,110.720470206324,120
