"ArchiveBatch","Section","FileName","Extension","Bytes","Modified","SHA256","RelativePath"
"2026-07-19_早期整理记录","","00_项目导航_修改前_20260719.md",".md","2691","2026-07-19 12:51:05","C6177A078E2CAF31BAD815F892CD42F68695DA79DF4FB62431708517837C09C5","2026-07-19_早期整理记录\00_项目导航_修改前_20260719.md"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具",".codex_work__4_3_data_matrix__build_matrix.mjs",".mjs","59002","2026-07-15 00:39:07","51604119622563D63DAB9AF886A5C3FC431B06B1BE728343864063720B179E81","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\.codex_work__4_3_data_matrix__build_matrix.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","build_exchange_pack.mjs",".mjs","27855","2026-07-15 18:44:48","F57964B8FE92C86F01D5DEA7607D7E794A8FB8C56B553EB1833F88683494812F","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\build_exchange_pack.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","inspect_exchange_readiness.mjs",".mjs","1430","2026-07-15 14:06:56","64A5CFCB6DE6CA6215C4279E3CEF008F97ECF92C9122C12F780B9CF3543D8DB2","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\inspect_exchange_readiness.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","inspect_workbook.mjs",".mjs","931","2026-07-15 12:12:42","51A92F1C3826116C2A7EF774535A101051FFC4A352697D41AD7178E0376BE69C","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\inspect_workbook.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","read_progress_values.mjs",".mjs","546","2026-07-15 14:08:11","678BFA2A4BA1C327DE1B4646D794A04EF5B0E1852EFDE9FA075AC44A1737AE92","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\read_progress_values.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","remove_08_sheet.mjs",".mjs","947","2026-07-15 13:19:29","48401EC3FC0113C4EEA50C7AFEE2F5966CD59599368DD577414CFB6DB9119245","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\remove_08_sheet.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","sheet_delete_help.mjs",".mjs","564","2026-07-15 13:15:58","8649CFE0F324A469A4C09C6048314897E5C7BFD9170CC70B3C360C2405A4AC81","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\sheet_delete_help.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","update_multiobjective_workbook.mjs",".mjs","37095","2026-07-15 12:18:27","E0E58676A8BDE10D1C36FE9CF2E4056065EDE17D2D267C9437E1078AF81D172F","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\update_multiobjective_workbook.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","verify_exchange_pack.mjs",".mjs","760","2026-07-15 18:51:58","78B0AFF409CD290D705AD561FD803DC496E291CB76F73AC8E1F2353B1B7C491E","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\verify_exchange_pack.mjs"
"2026-07-19_早期整理记录","4.3_JavaScript与表格生成工具","verify_multiobjective_workbook.mjs",".mjs","952","2026-07-15 12:26:42","E3C4903E90EE4E715DF87D9C1216390D938AA812B0512B4EF6B60A5D876B0A46","2026-07-19_早期整理记录\4.3_JavaScript与表格生成工具\verify_multiobjective_workbook.mjs"
"2026-07-19_早期整理记录","","4.3-4.7整合_修改前_20260719.md",".md","11428","2026-07-19 14:00:21","2A6DBD14A7DD1F001B7F66860D72FAE2ACCEA97E4915923B12779C66ADE462F5","2026-07-19_早期整理记录\4.3-4.7整合_修改前_20260719.md"
"2026-07-19_早期整理记录","4.7_企业调研清单生成工具","build_questions.mjs",".mjs","14930","2026-07-18 19:40:52","47799760D34DFB178EB92BDB412D866514E6AF72481546A985CD6D848863FD0C","2026-07-19_早期整理记录\4.7_企业调研清单生成工具\build_questions.mjs"
"2026-07-19_早期整理记录","","整理记录_20260719.md",".md","1292","2026-07-19 12:51:08","38615C56C32A096BADB25FAC8AC3B43BC9288D16634BC490C6EDAA0C02695473","2026-07-19_早期整理记录\整理记录_20260719.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","08_4.8-4.9目标架构.md",".md","16057","2026-07-20 23:18:28","7BABC155F84D63E07D638CDC3FC2DADC73BA04605E34957BF45F453C367CE623","2026-07-23_V4前研发资料\01_模块研发源资料\08_4.8-4.9目标架构.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","4.1系统边界与统一建模口径_V2.0_冻结版.md",".md","12377","2026-07-20 18:14:30","17C9C634A16B68B53430BE0096E4EAE451D7337BC75B75FD86B49EFA01D484F9","2026-07-23_V4前研发资料\01_模块研发源资料\4.1边界与口径\4.1系统边界与统一建模口径_V2.0_冻结版.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","蓝海枢纽_4.1边界与口径冻结表_V1.0.docx",".docx","42250","2026-07-19 12:33:24","4D048778D676F10BA5B76254031E20518A6FFC95E0FE2B674A9379C2A6F66723","2026-07-23_V4前研发资料\01_模块研发源资料\4.1边界与口径\蓝海枢纽_4.1边界与口径冻结表_V1.0.docx"
"2026-07-23_V4前研发资料","01_模块研发源资料","4.1-4.2公共标准冻结说明_V2.0.md",".md","3128","2026-07-20 18:25:09","5D232EB67C838EFB0092DFB6E24E24AF8B609D465DA7A21A74BB7E885A825226","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\4.1-4.2公共标准冻结说明_V2.0.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","4.2第四章全量变量与接口字典_V2.0_冻结版.md",".md","16068","2026-07-20 18:22:01","FC3ADB85116237F637B921CD0B12CBDBF4A322B96B4083324249A541B111B15B","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\4.2第四章全量变量与接口字典_V2.0_冻结版.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","4.2冻结标准验收结果_V2.mat",".mat","1104","2026-07-20 18:23:22","BC583724C605B562117F367D474AC7520966AD24A9CBD53BBFD8AF841915DDB6","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\4.2冻结标准验收结果_V2.mat"
"2026-07-23_V4前研发资料","01_模块研发源资料","4.3-4.7去重与验收清单.md",".md","21198","2026-07-20 18:44:44","0108F9AFF20B83DBEE4D2895C649714225844B472284A0A09EA4649B7033F349","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\4.3-4.7去重与验收清单.md"
"2026-07-23_V4前研发资料","01_模块研发源资料","common_config_4_2.m",".m","13474","2026-07-20 18:15:14","DE0054DE0C6513236F52FF5EA541D14F3F1D151A4F1FF6702CB26D0696C25433","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\common_config_4_2.m"
"2026-07-23_V4前研发资料","01_模块研发源资料","common_dispatch_port_4_2.m",".m","847","2026-07-20 18:11:19","49ABF6A4CDB069E16E6C7766B4CA27BF4AA8249945B7599736CF66041B6B355A","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\common_dispatch_port_4_2.m"
"2026-07-23_V4前研发资料","01_模块研发源资料","common_packet_4_2.m",".m","1656","2026-07-20 18:11:59","9D0405E23F3DDECC80F3A8D7BB84D29745465DB3065C4893EBCDFABB90D6A69C","2026-07-23_V4前研发资料\01_模块研发源资料\4.2变量与接口\common_packet_4_2.m"
