-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 06/01/2025 through 06/07/2025 in UTC
Location: Latitude  21.5   Longitude 114.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M,T2M,ALLSKY_SFC_SW_DWN
2025,6,1,0,1.02,0.96,26.75,384.42
2025,6,1,1,1.12,1.06,26.84,554.4
2025,6,1,2,1.32,1.25,26.9,586.88
2025,6,1,3,1.55,1.47,27.06,718.9
2025,6,1,4,1.91,1.81,27.21,843.08
2025,6,1,5,2.67,2.48,27.35,817.58
2025,6,1,6,3.69,3.31,27.47,673.7
2025,6,1,7,4.75,4.13,27.57,545.55
2025,6,1,8,5.59,4.68,27.68,335.3
2025,6,1,9,6.16,4.95,27.79,157.65
2025,6,1,10,6.53,5.01,27.89,29.48
2025,6,1,11,6.73,4.96,27.97,0.0
2025,6,1,12,6.92,5.02,28.02,0.0
2025,6,1,13,7.1,5.14,28.03,0.0
2025,6,1,14,7.3,5.34,28.04,0.0
2025,6,1,15,7.43,5.52,28.02,0.0
2025,6,1,16,7.46,5.64,27.99,0.0
2025,6,1,17,7.38,5.63,27.95,0.0
2025,6,1,18,7.23,5.51,27.92,0.0
2025,6,1,19,7.01,5.32,27.92,0.0
2025,6,1,20,7.19,5.52,27.93,0.0
2025,6,1,21,7.88,6.2,27.98,0.0
2025,6,1,22,8.13,6.4,28.01,67.07
2025,6,1,23,7.9,6.1,28.06,201.35
2025,6,2,0,7.67,5.82,28.08,366.7
2025,6,2,1,7.41,5.51,28.12,518.85
2025,6,2,2,7.09,5.14,28.16,631.05
2025,6,2,3,6.79,4.79,28.18,711.08
2025,6,2,4,6.54,4.53,28.21,737.3
2025,6,2,5,6.46,4.46,28.22,639.42
2025,6,2,6,6.46,4.47,28.21,654.53
2025,6,2,7,6.32,4.37,28.21,563.67
2025,6,2,8,6.14,4.2,28.21,406.15
2025,6,2,9,6.06,4.07,28.24,197.25
2025,6,2,10,6.16,4.11,28.27,36.88
2025,6,2,11,6.34,4.21,28.32,0.0
2025,6,2,12,6.18,4.04,28.34,0.0
2025,6,2,13,6.01,3.86,28.35,0.0
2025,6,2,14,6.01,3.87,28.35,0.0
2025,6,2,15,6.49,4.3,28.34,0.0
2025,6,2,16,7.23,5.1,28.33,0.0
2025,6,2,17,7.48,5.56,28.21,0.0
2025,6,2,18,7.48,5.67,28.12,0.0
2025,6,2,19,7.43,5.63,28.11,0.0
2025,6,2,20,7.54,5.69,28.14,0.0
2025,6,2,21,7.74,5.82,28.17,0.0
2025,6,2,22,7.93,5.96,28.22,45.62
2025,6,2,23,8.01,6.07,28.21,153.93
2025,6,3,0,7.92,6.16,28.15,278.98
2025,6,3,1,7.75,6.42,27.95,401.12
2025,6,3,2,7.51,6.53,27.65,547.97
2025,6,3,3,6.34,5.68,27.4,663.3
2025,6,3,4,3.82,3.53,27.21,609.88
2025,6,3,5,2.3,2.16,27.1,535.95
2025,6,3,6,1.76,1.64,27.17,391.05
2025,6,3,7,1.46,1.36,27.3,243.4
2025,6,3,8,1.25,1.16,27.43,138.18
2025,6,3,9,1.44,1.36,27.61,45.45
2025,6,3,10,2.23,2.07,27.76,5.3
2025,6,3,11,2.86,2.6,27.84,0.0
2025,6,3,12,3.26,2.89,27.89,0.0
2025,6,3,13,3.71,3.26,27.91,0.0
2025,6,3,14,3.98,3.54,27.86,0.0
2025,6,3,15,3.8,3.42,27.79,0.0
2025,6,3,16,3.27,2.97,27.71,0.0
2025,6,3,17,2.66,2.44,27.65,0.0
2025,6,3,18,2.08,1.92,27.65,0.0
2025,6,3,19,1.82,1.68,27.67,0.0
2025,6,3,20,1.71,1.61,27.68,0.0
2025,6,3,21,1.97,1.89,27.6,0.0
2025,6,3,22,2.59,2.48,27.48,15.57
2025,6,3,23,3.32,3.15,27.43,30.33
2025,6,4,0,4.0,3.75,27.41,52.85
2025,6,4,1,4.6,4.28,27.41,57.92
2025,6,4,2,4.93,4.57,27.42,88.1
2025,6,4,3,5.34,4.96,27.25,125.62
2025,6,4,4,5.86,5.45,26.96,176.0
2025,6,4,5,6.35,5.92,26.71,166.98
2025,6,4,6,6.75,6.27,26.58,140.88
2025,6,4,7,7.01,6.49,26.61,154.2
2025,6,4,8,7.17,6.61,26.69,109.72
2025,6,4,9,7.25,6.66,26.75,57.28
2025,6,4,10,7.35,6.74,26.8,13.65
2025,6,4,11,7.48,6.84,26.82,0.0
2025,6,4,12,7.59,6.93,26.88,0.0
2025,6,4,13,7.69,7.01,26.91,0.0
2025,6,4,14,7.69,7.01,26.87,0.0
2025,6,4,15,7.49,6.82,26.9,0.0
2025,6,4,16,7.0,6.4,26.94,0.0
2025,6,4,17,6.16,5.68,26.92,0.0
2025,6,4,18,5.18,4.82,26.88,0.0
2025,6,4,19,4.42,4.13,26.87,0.0
2025,6,4,20,4.0,3.78,26.91,0.0
2025,6,4,21,3.8,3.59,26.95,0.0
2025,6,4,22,3.72,3.52,27.03,14.55
2025,6,4,23,3.77,3.56,27.13,43.67
2025,6,5,0,3.95,3.74,27.22,68.05
2025,6,5,1,4.17,3.94,27.28,139.62
2025,6,5,2,4.32,4.07,27.29,256.12
2025,6,5,3,4.45,4.19,27.21,296.75
2025,6,5,4,4.46,4.2,27.06,320.0
2025,6,5,5,4.33,4.09,26.94,461.23
2025,6,5,6,4.17,3.95,26.87,331.73
2025,6,5,7,3.99,3.78,26.82,324.58
2025,6,5,8,3.78,3.59,26.81,224.95
2025,6,5,9,3.82,3.63,26.93,107.8
2025,6,5,10,4.17,3.93,27.11,14.07
2025,6,5,11,4.64,4.34,27.25,0.0
2025,6,5,12,5.09,4.72,27.37,0.0
2025,6,5,13,5.36,4.96,27.45,0.0
2025,6,5,14,5.41,4.98,27.5,0.0
2025,6,5,15,5.17,4.77,27.48,0.0
2025,6,5,16,4.65,4.31,27.46,0.0
2025,6,5,17,3.94,3.69,27.46,0.0
2025,6,5,18,3.19,3.01,27.48,0.0
2025,6,5,19,2.44,2.34,27.51,0.0
2025,6,5,20,1.82,1.76,27.56,0.0
2025,6,5,21,1.43,1.41,27.59,0.0
2025,6,5,22,1.35,1.34,27.62,50.03
2025,6,5,23,1.62,1.6,27.66,152.62
2025,6,6,0,2.08,2.02,27.69,277.38
2025,6,6,1,2.54,2.44,27.71,467.73
