-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  21.2   Longitude 113.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS50M
2025,1,1,0,67.6,20.53,6.75
2025,1,1,1,147.15,20.44,6.83
2025,1,1,2,229.02,20.29,6.92
2025,1,1,3,298.75,20.11,6.98
2025,1,1,4,262.65,19.93,7.03
2025,1,1,5,232.18,19.79,7.13
2025,1,1,6,207.18,19.7,7.29
2025,1,1,7,181.27,19.61,7.53
2025,1,1,8,109.12,19.53,7.77
2025,1,1,9,24.85,19.5,7.94
2025,1,1,10,0.0,19.51,8.01
2025,1,1,11,0.0,19.56,7.97
2025,1,1,12,0.0,19.62,7.8
2025,1,1,13,0.0,19.69,7.54
2025,1,1,14,0.0,19.75,7.34
2025,1,1,15,0.0,19.83,7.2
2025,1,1,16,0.0,19.89,7.25
2025,1,1,17,0.0,19.92,7.44
2025,1,1,18,0.0,19.94,7.76
2025,1,1,19,0.0,19.93,8.21
2025,1,1,20,0.0,19.95,8.69
2025,1,1,21,0.0,19.98,9.06
2025,1,1,22,0.0,20.04,9.31
2025,1,1,23,24.08,20.08,9.41
2025,1,2,0,110.15,20.11,9.33
2025,1,2,1,201.75,20.17,9.1
2025,1,2,2,282.23,20.23,8.74
2025,1,2,3,319.08,20.18,8.38
2025,1,2,4,345.15,20.07,8.06
2025,1,2,5,351.5,19.99,7.73
2025,1,2,6,297.6,19.99,7.47
2025,1,2,7,214.9,20.03,7.35
2025,1,2,8,118.62,20.08,7.25
2025,1,2,9,23.7,20.18,6.84
2025,1,2,10,0.0,20.31,6.3
2025,1,2,11,0.0,20.48,5.84
2025,1,2,12,0.0,20.61,5.23
2025,1,2,13,0.0,20.73,4.81
2025,1,2,14,0.0,20.81,4.99
2025,1,2,15,0.0,20.89,5.97
2025,1,2,16,0.0,20.91,7.4
2025,1,2,17,0.0,20.86,8.81
2025,1,2,18,0.0,20.84,9.96
2025,1,2,19,0.0,20.78,10.63
2025,1,2,20,0.0,20.66,11.01
2025,1,2,21,0.0,20.48,11.23
2025,1,2,22,0.0,20.29,11.31
2025,1,2,23,35.62,20.12,11.17
2025,1,3,0,212.38,19.98,11.06
2025,1,3,1,411.33,19.8,10.89
2025,1,3,2,588.53,19.58,10.69
2025,1,3,3,690.05,19.36,10.65
2025,1,3,4,708.05,19.27,10.54
2025,1,3,5,695.0,19.3,10.19
2025,1,3,6,551.1,19.38,9.71
2025,1,3,7,407.55,19.49,9.15
2025,1,3,8,210.45,19.62,8.62
2025,1,3,9,24.27,19.78,8.1
2025,1,3,10,0.0,19.95,7.7
2025,1,3,11,0.0,20.08,7.52
2025,1,3,12,0.0,20.18,7.55
2025,1,3,13,0.0,20.24,7.79
2025,1,3,14,0.0,20.25,7.99
2025,1,3,15,0.0,20.25,8.0
2025,1,3,16,0.0,20.27,7.85
2025,1,3,17,0.0,20.22,7.9
2025,1,3,18,0.0,20.13,8.16
2025,1,3,19,0.0,19.98,8.53
2025,1,3,20,0.0,19.8,8.93
2025,1,3,21,0.0,19.6,9.33
2025,1,3,22,0.0,19.43,9.65
2025,1,3,23,29.8,19.31,9.87
2025,1,4,0,163.82,19.22,9.98
2025,1,4,1,347.3,19.15,10.03
2025,1,4,2,512.4,19.12,10.12
2025,1,4,3,591.85,19.03,10.03
2025,1,4,4,631.45,18.94,9.71
2025,1,4,5,437.52,18.86,9.22
2025,1,4,6,482.35,18.83,8.76
2025,1,4,7,320.0,18.86,8.33
2025,1,4,8,152.25,18.93,7.97
2025,1,4,9,24.3,19.05,8.01
