timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive
0,NORMAL,327.969049616543,318.162067099407,200,-1.4210854715202e-14,25.1189661821088,184,0,28.4100252847013,9.80698251713676,0,63765.0126423507,6363.24134198813,-79262.7713003625,1,1,model_causal_myopic_1h,0.888419147404093,-6.3125977149816e-17,0.111580852595907,1
1,NORMAL,314.917570879358,250.331281135811,200,1.77635683940025e-14,23.7587486505291,184,0,26.9921174100288,64.5862897435472,0,63056.0587050144,5006.62562271622,-58049.4330822982,1,1,model_causal_myopic_1h,0.893819800147184,7.93871457591408e-17,0.106180199852816,1
2,NORMAL,291.840438733695,252.238280234559,200,7.105427357601e-15,25.470913675625,184,0,28.7768026959885,39.6021584991363,0,63948.4013479943,5044.76560469118,-58903.6357433031,1,1,model_causal_myopic_1h,0.88703237477332,3.15137205139607e-17,0.11296762522668,1
3,NORMAL,232.456082987042,232.456082987042,180.750486476984,-1.4210854715202e-14,24.9926478879998,166.290447558825,0,28.2782274467867,0,0,59448.8211375114,4649.12165974084,-54799.6994777705,1,1,model_causal_myopic_1h,0.8785249968844,-6.90708574993919e-17,0.1214750031156,1
4,NORMAL,189.034659350842,189.034659350842,137.813024617459,-1.06581410364015e-14,24.5581271093495,126.787982648062,0,27.8252517116369,0,0,49741.7416913534,3780.69318701684,-45961.0485043366,1,1,model_causal_myopic_1h,0.848753138422835,-6.56406074789317e-17,0.151246861577165,1
5,NORMAL,158.383746939714,158.383746939714,106.33207714524,-1.06581410364015e-14,25.3033582198131,97.8255109736206,0,28.6020192320982,0,0,43179.132249718,3167.67493879428,-40011.4573109238,1,1,model_causal_myopic_1h,0.807777000549727,-8.09671119850383e-17,0.192222999450274,1
6,NORMAL,149.704634262795,149.704634262795,98.3274760178619,1.77635683940025e-14,24.6977548307078,90.461277936433,0,27.9707132236934,0,0,41096.0633165906,2994.09268525589,-38101.9706313347,1,1,model_causal_myopic_1h,0.799246425628674,1.4438963675563e-16,0.200753574371326,1
7,NORMAL,158.133331487122,158.133331487122,104.100342024883,-3.5527136788005e-15,27.0822573990366,95.772314662892,0,30.4561964619595,0,0,55106.1315096209,3162.66662974243,-51943.4648798785,1,1,model_causal_myopic_1h,0.793552974876494,-2.70822021701204e-17,0.206447025123506,1
8,NORMAL,179.434951368027,179.434951368027,127.413689542872,0,25.2760470184024,117.220594379442,0,28.5734233313494,0,0,61886.1256422738,3588.69902736055,-58297.4266149133,1,1,model_causal_myopic_1h,0.834461388252778,0,0.165538611747222,1
9,NORMAL,204.820843804893,204.820843804893,160.897300001327,7.105427357601e-15,17.1304191459709,148.025516001221,0,20.994943402635,0,0,69186.6574617571,4096.41687609785,-65090.2405856592,1,1,model_causal_myopic_1h,0.903776674621117,3.99119159175546e-17,0.096223325378883,1
10,NORMAL,233.9947898688,233.9947898688,189.667251276183,-1.06581410364015e-14,17.4755045416628,174.493871174088,0,21.3729967964191,0,0,78904.2920208813,4679.895797376,-74224.3962235053,1,1,model_causal_myopic_1h,0.915635454048752,-5.14531198270526e-17,0.0843645459512479,1
11,NORMAL,254.1043898688,243.720150453333,200,-2.1316282072803e-14,16.9566765394417,184,0,20.8045262461843,10.3842394154674,0,82042.2631230921,4874.40300906665,-77167.8601140255,1,1,model_causal_myopic_1h,0.92184302963196,-9.82513302324107e-17,0.0781569703680405,1
12,NORMAL,221.578,221.578,178.278421951775,7.105427357601e-15,16.9049331755965,164.016148195633,0,20.7478050269866,0,0,74819.7158639212,4431.56,-70388.1558639212,1,1,model_causal_myopic_1h,0.913389473377149,3.64038590942562e-17,0.0866105266228506,1
13,NORMAL,196.9996,196.9996,154.021046818763,-1.06581410364015e-14,16.6307146351922,141.699363073262,0,20.4473351823884,0,0,66635.4382975685,3939.992,-62695.4462975685,1,1,model_causal_myopic_1h,0.902545895257698,-6.24554997006418e-17,0.0974541047423025,1
14,NORMAL,159.0148,159.0148,116.168348492402,1.4210854715202e-14,16.5178720661218,106.87488061301,0,20.3236729604568,0,0,54036.7935009121,3180.296,-50856.4975009121,1,1,model_causal_myopic_1h,0.875511775099237,1.07101209570846e-16,0.124488224900763,1
15,NORMAL,135.436,135.436,91.3026505537822,0,17.6171232361283,83.9984385094796,0,21.5280014710202,0,0,46403.4385989228,2708.72,-43694.7185989228,1,1,model_causal_myopic_1h,0.838255969296181,0,0.161744030703819,1
16,NORMAL,124.074470669534,124.074470669534,80.3935311441408,-7.105427357601e-15,16.9231674281976,73.9620486526096,0,20.7676630881262,0,0,42410.1690590026,2481.48941339067,-39928.6796456119,1,1,model_causal_myopic_1h,0.826102121460501,-7.30134443712075e-17,0.1738978785395,1
17,NORMAL,115.865415331254,115.865415331254,163.950123980769,1.4210854715202e-14,0,150.834114062307,0,5.07731733344438,0,0,101455.809385353,4567.30830662508,-69493.7642366223,1,1,model_causal_myopic_1h,1,8.66779138079148e-17,0,1
18,NORMAL,111.446227758567,111.446227758567,129.424334850101,0,1.4210854715202e-14,119.070388062093,0,4.89631545209324,0,0,81671.7983245444,3569.92455517133,-61774.6106114784,1,1,model_causal_myopic_1h,1,0,1.09800484828923e-16,1
19,NORMAL,110.167470774166,110.167470774166,83.402669913589,-7.105427357601e-15,0,76.7304563205019,0,4.93646332538427,0,0,55441.1145814033,2203.34941548333,-53237.76516592,1,1,model_causal_myopic_1h,1,-8.51942433613063e-17,0,1
20,NORMAL,109.854633421327,109.854633421327,83.143674974538,0,0,76.4921809765749,0,4.88606663429249,0,0,55268.1855226227,2197.09266842655,-53071.0928541962,1,1,model_causal_myopic_1h,1,0,0,1
21,NORMAL,120.438633421327,120.438633421327,93.5261417785925,-7.105427357601e-15,0,86.0440504363051,0,5.07466458362433,0,0,61284.6435623213,2408.77266842655,-58875.8708938948,1,1,model_causal_myopic_1h,1,-7.59726342012687e-17,0,1
22,NORMAL,135.451470774166,135.451470774166,83.8653356685611,-3.5527136788005e-15,24.8853290026696,77.1561088150762,0,28.165565870142,0,0,47258.9821084984,2709.02941548333,-44549.9526930151,1,1,model_causal_myopic_1h,0.771170787066896,-3.26684318623787e-17,0.228829212933104,1
23,NORMAL,149.660359508325,149.660359508325,97.8742452075826,-7.105427357601e-15,25.0648740390166,90.044305590976,0,28.3526714970511,0,0,51992.2857612769,2993.2071901665,-48999.0785711104,1,1,model_causal_myopic_1h,0.796119622520316,-5.77963092719778e-17,0.203880377479685,1
24,NORMAL,176.716251931771,176.716251931771,50.7098464872128,3.5527136788005e-15,24.6880416062936,46.6530587682358,0,27.9598413090345,0,0,30576.6547588938,3534.32503863541,-51766.0797202584,1,1,model_causal_myopic_1h,0.672563221191605,4.71195383403116e-17,0.327436778808395,1
25,NORMAL,211.253226442193,211.253226442193,101.080177543967,7.105427357601e-15,26.0663149340046,92.9937633404494,0,29.3969618001567,0,0,42416.9841017862,4225.06452884385,-57190.1695729424,1,1,model_causal_myopic_1h,0.794989901600937,5.58837858530155e-17,0.205010098399063,1
26,NORMAL,234.917611746144,234.917611746144,182.331115865871,1.06581410364015e-14,26.1067777292938,167.744626596601,0,29.4396308649004,0,0,60378.5258156345,4698.35223492288,-55680.1735807116,1,1,model_causal_myopic_1h,0.874750328364,5.11334136637464e-17,0.125249671636,1
27,NORMAL,235.344559933185,235.344559933185,183.649331944674,-1.06581410364015e-14,25.3066009595104,168.9573853891,0,28.6060232724128,0,0,60252.7841295903,4706.89119866369,-55545.8929309266,1,1,model_causal_myopic_1h,0.878890249212906,-5.10066447421177e-17,0.121109750787094,1
28,NORMAL,209.956409748643,209.956409748643,158.003786146636,7.105427357601e-15,25.5377368891721,145.363483254905,0,28.8474401693405,0,0,54710.9560658474,4199.12819497286,-50511.8278708746,1,1,model_causal_myopic_1h,0.86086125653327,3.87129148765687e-17,0.13913874346673,1
29,NORMAL,173.53876448071,173.53876448071,121.212559024427,0,25.8731893919444,111.515554302473,0,29.197608496443,0,0,46762.537280815,3470.77528961419,-43291.7619912008,1,1,model_causal_myopic_1h,0.824094518534166,0,0.175905481465834,1
30,NORMAL,149.387038948077,149.387038948077,96.7989897319275,2.48689957516035e-14,26.1083195049675,89.0550705533733,0,29.4432080154366,0,0,41494.8209405279,2987.74077896154,-38507.0801615664,1,1,model_causal_myopic_1h,0.787577161463639,2.02339436979051e-16,0.212422838536361,1
31,NORMAL,119.828151936921,119.828151936921,68.4617410018439,-7.105427357601e-15,25.0115244326952,62.9848017216964,0,28.3003241298793,0,0,42224.6906847504,2396.56303873841,-39828.1276460119,1,1,model_causal_myopic_1h,0.732420555584301,-7.60156107157404e-17,0.2675794444157,1
32,NORMAL,103.495924044676,103.495924044676,60.634987288338,1.4210854715202e-14,16.5304938708845,55.7841883052709,0,20.3398361167673,0,0,35652.2258482812,2069.91848089353,-33582.3073673877,1,1,model_causal_myopic_1h,0.785778645806982,1.84160773725748e-16,0.214221354193018,1
33,NORMAL,99.4747257814166,99.4747257814166,56.2082707710714,1.4210854715202e-14,16.8769173367283,51.7116091093857,0,20.719768829765,0,0,34376.0636942613,1989.49451562833,-32386.569178633,1,1,model_causal_myopic_1h,0.76907882741117,1.94442336171334e-16,0.23092117258883,1
34,NORMAL,111.328,111.328,67.5832069496769,0,17.2855435519924,62.1765503937027,0,21.167875948036,0,0,38367.496115751,2226.56,-36140.936115751,1,1,model_causal_myopic_1h,0.796326168939504,0,0.203673831060496,1
35,NORMAL,129.11085859082,129.11085859082,85.1420776750949,-3.5527136788005e-15,17.1693983198193,78.3307114610873,0,21.0409454225665,0,0,44119.5288372747,2582.2171718164,-41537.3116654583,1,1,model_causal_myopic_1h,0.832185019785339,-3.47244885703448e-17,0.167814980214661,1
36,NORMAL,139.385415331254,139.385415331254,95.0845760369812,0,17.4530744511847,87.4778099540227,0,21.3521490135898,0,0,47568.086090243,2787.70830662508,-44780.377783618,1,1,model_causal_myopic_1h,0.844913463401122,0,0.155086536598878,1
37,NORMAL,139.082227758567,139.082227758567,95.2338198094969,7.105427357601e-15,17.0666469716718,87.6151142247371,0,20.929026817543,0,0,47405.9545296769,2781.64455517133,-44624.3099745055,1,1,model_causal_myopic_1h,0.848026927573433,6.32715745647505e-17,0.151973072426566,1
38,NORMAL,137.803470774166,137.803470774166,93.8582148820459,1.06581410364015e-14,17.1494084507437,86.3495576914822,0,21.0200622969703,0,0,46995.8719174188,2756.06941548333,-44239.8025019354,1,1,model_causal_myopic_1h,0.845511434837845,9.60126945916992e-17,0.154488565162155,1
39,NORMAL,123.966633421327,123.966633421327,80.4441297138912,0,16.7883333136858,74.00859933678,0,20.6247016140389,0,0,42355.4465682602,2479.33266842655,-39876.1138998337,1,1,model_causal_myopic_1h,0.827338187361105,0,0.172661812638895,1
40,NORMAL,100.171470774166,100.171470774166,56.305068880918,-1.77635683940025e-14,17.0821221690806,51.8006633704446,0,20.9470036314146,0,0,34521.7406290673,2003.42941548333,-32518.311213584,1,1,model_causal_myopic_1h,0.767232920014032,-2.42052708924371e-16,0.232767079985969,1
