timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive
0,NORMAL,327.969049616543,287.805789473684,200,0,0,184,0,0,40.1632601428591,0,49560,5756.11578947368,-65664.8842105263,1,1,baseline_E_asset_only,1,0,0,1
1,NORMAL,314.917570879358,221.49,200,0,0,184,0,0,93.427570879358,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1
2,NORMAL,291.840438733695,221.49,200,0,0,184,0,0,70.3504387336953,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1
3,NORMAL,232.456082987042,221.49,200,0,0,184,0,0,10.9660829870421,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1
4,NORMAL,189.034659350842,189.034659350842,200,0,0,184,0,0,0,0,49560,4754.35340649158,-32950.9063774476,1,1,baseline_E_asset_only,1,0,0,1
5,NORMAL,158.383746939714,158.383746939714,100.932150652558,0,0,92.8575786003535,0,0,0,0,27685.8188640848,3167.67493879428,-36372.8841413514,1,1,baseline_E_asset_only,1,0,0,1
6,NORMAL,149.704634262795,149.704634262795,200,0,0,184,0,0,0,0,49560,5147.65365737206,-18191.7969628276,1,1,baseline_E_asset_only,1,0,0,1
7,NORMAL,158.133331487122,158.133331487122,136.643331487122,0,0,125.711864968152,0,0,0,0,50656.2713885347,3162.66662974243,-47493.6047587922,1,1,baseline_E_asset_only,1,0,0,1
8,NORMAL,179.434951368027,179.434951368027,157.944951368027,0,0,145.309355258585,0,0,0,0,57711.3678930906,3588.69902736055,-54122.6688657301,1,1,baseline_E_asset_only,1,0,0,1
9,NORMAL,204.820843804893,204.820843804893,183.330843804893,0,0,168.664376300501,0,0,0,0,66119.1754681804,4096.41687609785,-62022.7585920826,1,1,baseline_E_asset_only,1,0,0,1
10,NORMAL,233.9947898688,233.9947898688,200,0,0,184,0,0,0,0,71640,4679.895797376,-71082.308182874,1,1,baseline_E_asset_only,1,0,0,1
11,NORMAL,254.1043898688,254.1043898688,200,0,0,184,0,0,0,0,71640,5082.087797376,-77309.245822874,1,1,baseline_E_asset_only,1,0,0,1
12,NORMAL,221.578,221.578,166.026608283633,0,0,152.744479620943,0,0,0,0,60388.0126635393,4431.56,-67303.4644428397,1,1,baseline_E_asset_only,1,0,0,1
13,NORMAL,196.9996,196.9996,200,0,0,184,0,0,0,0,71640,4663.904,-58162.1498947368,1,1,baseline_E_asset_only,1,0,0,1
14,NORMAL,159.0148,159.0148,111.14751468144,0,0,102.255713506925,0,0,0,0,42212.0568624931,3180.296,-47845.7069677562,1,1,baseline_E_asset_only,1,0,0,1
15,NORMAL,135.436,135.436,189.306,0,0,174.16152,0,0,0,0,68098.1472,4958.72,-35744.6903578948,1,1,baseline_E_asset_only,1,0,0,1
16,NORMAL,124.074470669534,124.074470669534,102.584470669534,0,0,94.3777130159709,0,0,0,0,39375.9766857495,2481.48941339067,-36894.4872723589,1,1,baseline_E_asset_only,1,0,0,1
17,NORMAL,115.865415331254,115.865415331254,94.3754153312538,0,0,86.8253821047535,0,0,0,0,59231.7369049472,2317.30830662508,-56914.4285983221,1,1,baseline_E_asset_only,1,0,0,1
18,NORMAL,111.446227758567,111.446227758567,89.9562277585666,0,0,82.7597295378812,0,0,0,0,56711.0323134864,2228.92455517133,-54482.107758315,1,1,baseline_E_asset_only,1,0,0,1
19,NORMAL,110.167470774166,110.167470774166,88.6774707741665,0,0,81.5832731122332,0,0,0,0,55981.6293295846,2203.34941548333,-53778.2799141012,1,1,baseline_E_asset_only,1,0,0,1
20,NORMAL,109.854633421327,109.854633421327,88.3646334213275,0,0,81.2954627476213,0,0,0,0,55803.1869035252,2197.09266842655,-53606.0942350986,1,1,baseline_E_asset_only,1,0,0,1
21,NORMAL,120.438633421327,120.438633421327,98.9486334213274,0,0,91.0327427476212,0,0,0,0,61840.3005035252,2408.77266842655,-59431.5278350986,1,1,baseline_E_asset_only,1,0,0,1
22,NORMAL,135.451470774166,135.451470774166,113.961470774166,0,0,104.844553112233,0,0,0,0,43144.0391204039,2709.02941548333,-40435.0097049206,1,1,baseline_E_asset_only,1,0,0,1
23,NORMAL,149.660359508325,149.660359508325,128.170359508325,0,0,117.916730747659,0,0,0,0,47850.0230691573,2993.2071901665,-44856.8158789908,1,1,baseline_E_asset_only,1,0,0,1
24,NORMAL,176.716251931771,176.716251931771,80.5862519317706,0,0,74.139351777229,0,0,0,0,23193.444426535,3534.32503863541,-44382.8693878996,1,1,baseline_E_asset_only,1,0,0,1
25,NORMAL,211.253226442193,211.253226442193,190.123226442193,0,0,174.913368326817,0,0,0,0,47379.2083984361,4225.06452884385,-43154.1438695923,1,1,baseline_E_asset_only,1,0,0,1
26,NORMAL,234.917611746144,229.232493074792,200,0,0,184,0,0,5.68511867135163,0,49560,4584.64986149584,-47646.3369806094,1,1,baseline_E_asset_only,1,0,0,1
27,NORMAL,235.344559933185,221.13,200,0,0,184,0,0,14.2145599331846,0,49560,4422.6,-45137.4,1,1,baseline_E_asset_only,1,0,0,1
28,NORMAL,209.956409748643,209.956409748643,200,0,0,184,0,0,0,0,49560,4534.33590251357,-40944.3632372539,1,1,baseline_E_asset_only,1,0,0,1
29,NORMAL,173.53876448071,173.53876448071,140.028055060923,0,0,128.825810656049,0,0,0,0,36318.1945574519,3470.77528961419,-36928.7201280702,1,1,baseline_E_asset_only,1,0,0,1
30,NORMAL,149.387038948077,149.387038948077,200,0,0,184,0,0,0,0,49560,5140.02961051923,-18214.9098789363,1,1,baseline_E_asset_only,1,0,0,1
31,NORMAL,119.828151936921,119.828151936921,98.6981519369206,0,0,90.802299781967,0,0,0,0,38088.8279215081,2396.56303873841,-35692.2648827697,1,1,baseline_E_asset_only,1,0,0,1
32,NORMAL,103.495924044676,103.495924044676,82.3659240446763,0,0,75.7766501211022,0,0,0,0,32679.5940435968,2069.91848089353,-30609.6755627033,1,1,baseline_E_asset_only,1,0,0,1
33,NORMAL,99.4747257814166,99.4747257814166,78.3447257814166,0,0,72.0771477189032,0,0,0,0,31347.7731788052,1989.49451562833,-29358.2786631768,1,1,baseline_E_asset_only,1,0,0,1
34,NORMAL,111.328,111.328,90.198,0,0,82.98216,0,0,0,0,35273.5776,2226.56,-33047.0176,1,1,baseline_E_asset_only,1,0,0,1
35,NORMAL,129.11085859082,129.11085859082,107.62085859082,0,0,99.0111899035544,0,0,0,0,41044.0283652796,2582.2171718164,-38461.8111934632,1,1,baseline_E_asset_only,1,0,0,1
36,NORMAL,139.385415331254,139.385415331254,117.895415331254,0,0,108.463782104754,0,0,0,0,44446.9615577113,2787.70830662508,-41659.2532510862,1,1,baseline_E_asset_only,1,0,0,1
37,NORMAL,139.082227758567,139.082227758567,117.592227758567,0,0,108.184849537881,0,0,0,0,44346.5458336372,2781.64455517133,-41564.9012784659,1,1,baseline_E_asset_only,1,0,0,1
38,NORMAL,137.803470774166,137.803470774166,116.313470774166,0,0,107.008393112233,0,0,0,0,43923.0215204039,2756.06941548333,-41166.9521049206,1,1,baseline_E_asset_only,1,0,0,1
39,NORMAL,123.966633421327,123.966633421327,102.476633421327,0,0,94.2785027476212,0,0,0,0,39340.2609891436,2479.33266842655,-36860.9283207171,1,1,baseline_E_asset_only,1,0,0,1
40,NORMAL,100.171470774166,100.171470774166,78.6814707741664,0,0,72.3869531122331,0,0,0,0,31459.3031204039,2003.42941548333,-29455.8737049206,1,1,baseline_E_asset_only,1,0,0,1
41,NORMAL,79.9974153312537,79.9974153312537,58.5074153312537,0,0,53.8268221047534,0,0,0,0,38772.6297049471,1599.94830662508,-37172.6813983221,1,1,baseline_E_asset_only,1,0,0,1
42,NORMAL,70.756,70.756,49.626,0,0,45.65592,0,0,0,0,33706.6704,1415.12,-32291.5504,1,1,baseline_E_asset_only,1,0,0,1
43,NORMAL,81.34,81.34,60.21,0,0,55.3932,0,0,0,0,39743.784,1626.8,-38116.984,1,1,baseline_E_asset_only,1,0,0,1
44,NORMAL,111.328,111.328,90.198,0,0,82.98216,0,0,0,0,56848.9392,2226.56,-54622.3792,1,1,baseline_E_asset_only,1,0,0,1
45,NORMAL,186.9448,186.9448,165.8148,0,0,152.549616,0,0,0,0,99980.76192,3738.896,-96241.86592,1,1,baseline_E_asset_only,1,0,0,1
46,NORMAL,364.5796,296.13,200,0,0,184,0,0,68.4495999999999,0,71640,5922.6,-90441.15,1,1,baseline_E_asset_only,1,0,0,1
47,NORMAL,576.31054904882,225.6235856531,200,0,0,184,0,0,350.68696339572,0,71640,4512.47171306201,-68608.8387974825,1,1,baseline_E_asset_only,1,0,0,1
0,NORMAL,327.969049616543,187.805789571184,0,100,0,0,0,0,140.163260045359,0,5400,109921.343931939,32704.3812756063,1,1,baseline_H_asset_only,0,1,0,1
1,NORMAL,314.917570879358,121.49,0,100,0,0,0,0,193.427570879358,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
2,NORMAL,291.840438733695,121.49,0,100,0,0,0,0,170.350438733695,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
3,NORMAL,232.456082987042,121.49,0,100,0,0,0,0,110.966082987042,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
