strategyId,strategyClass,horizonH,productMixEnabled,targetElectricityShare,targetHydrogenShare,targetComputeShare,activeRatioHours,maxHourlyShareDeviation,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,realizedElectricityInputShare,realizedHydrogenInputShare,realizedComputeInputShare,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,auditPass,allHoursOptimal,informationBoundary,parameterStatus,comparisonSet
baseline_E_asset_only,ASSET_BASELINE,48,0,NaN,NaN,NaN,48,NaN,8450.79867685041,7796.8550821072,6675.65070911579,0,0,1,0,0,6141.59865238653,0,0,653.943594743211,0,2404502.30190816,164525.731372833,-2261837.57053533,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
baseline_H_asset_only,ASSET_BASELINE,48,0,NaN,NaN,NaN,48,NaN,8450.79867685041,5648.69021488605,0,4555.36303053274,0,0,1,0,0,8874,0,2802.10846196436,0,510866.64,593569.675411191,-1959593.41898212,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
baseline_C_asset_only,ASSET_BASELINE,48,0,NaN,NaN,NaN,48,NaN,8450.79867685041,2317.09990050527,0,0,973.785245487847,0,0,1,0,0,1148.24327462365,6133.69877634514,0,833321.637311824,46341.9980101054,-808840.639301718,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E100,FIXED_HOURLY_EHC_POLICY,48,1,1,0,0,48,0,8450.79867685041,7738.21716279631,6372.33393483071,0,0,1,0,0,5862.54722004426,0,236.833383445771,712.581514054097,0,2405615.53586158,161031.462359227,-2266445.07350236,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_H100,FIXED_HOURLY_EHC_POLICY,48,1,0,1,0,48,0,8450.79867685041,5816.52808715063,0,4471.91945600896,0,0,1,0,0,8874,236.833383445771,2634.27058969978,0,629283.331722885,571293.92447132,-2058600.82071667,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_C100,FIXED_HOURLY_EHC_POLICY,48,1,0,0,1,48,0,8450.79867685041,2317.09990050527,0,0,973.785245487847,0,0,1,0,0,1148.24327462365,6133.69877634514,0,833321.637311824,46341.9980101054,-808840.639301718,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E80_H20,FIXED_HOURLY_EHC_POLICY,48,1,0.8,0.2,0,48,0.02,8450.79867685041,8034.86278099513,5270.95140680476,1420.59671917295,0,0.787702831627564,0.212297168372436,0,4849.27529426038,0,236.833383445771,415.935895855275,0,2054827.37415796,448280.283928962,-2338080.85675613,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E60_H40,FIXED_HOURLY_EHC_POLICY,48,1,0.6,0.4,0,48,0.0200000000000001,8450.79867685041,8092.11031902269,4156.15564161696,2590.96253152677,0,0.615989750729452,0.384010249270548,0,3823.6631902876,0,236.833383445771,358.688357827716,0,1698320.9902286,602046.783091317,-2412475.48182636,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E40_H60,FIXED_HOURLY_EHC_POLICY,48,1,0.4,0.6,0,48,0.0200000000000004,8450.79867685041,7388.93760873023,2528.4130439345,3491.61801305241,0,0.42,0.58,0,2326.14000041974,0,236.833383445771,1061.86106812017,0,1194378.66699306,670151.640389292,-2290359.41730601,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E20_H80,FIXED_HOURLY_EHC_POLICY,48,1,0.2,0.8,0,48,0.0200000000000002,8450.79867685041,6594.87070269081,1154.634942248,4093.70570433382,0,0.22,0.78,0,1062.26414686816,2958,236.833383445771,1855.9279741596,0,842293.007543747,631476.601168185,-2192647.49929272,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E80_C20,FIXED_HOURLY_EHC_POLICY,48,1,0.8,0,0.2,48,0.0200000000000002,8450.79867685041,6359.64906907202,4102.58425561075,0,905.872186093639,0.81913146362807,0,0.18086853637193,3774.37751516189,0,1084.67525328406,2091.14960777839,0,2135427.50021878,129380.633703307,-2027907.86651547,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E60_C40,FIXED_HOURLY_EHC_POLICY,48,1,0.6,0,0.4,48,0.0200000000000001,8450.79867685041,3906.01883086058,1588.80750579596,0,973.785245487847,0.62,0,0.38,1461.70290533228,0,1148.24327462365,4544.77984598983,0,1362127.84074986,78151.3183602315,-1305837.52238963,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E40_C60,FIXED_HOURLY_EHC_POLICY,48,1,0.4,0,0.6,48,0.0200000000000001,8450.79867685041,3022.25473344474,705.154832939475,0,973.785245487847,0.42,0,0.58,648.742446304317,0,1148.24327462365,5428.54394340566,0,1068019.82993894,60445.0946688949,-1029435.73527004,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
