starts,valid,score
1,1,5.25335289963324
25,1,6.0597735007927
49,1,5.23524949003407
73,1,5.04496583617924
97,1,3.04610526315592
121,1,3.46814561733084
145,1,1.77400359124639
169,1,7.0149741421064
193,1,9.06299791088035
217,1,8.34187422019952
241,1,6.41686080716705
265,1,4.89768983732143
289,1,6.09105942463238
313,1,7.33358335628963
337,1,7.37338824359499
361,1,3.66575968301256
385,1,1.93504738859823
409,1,2.72804130851931
433,1,4.50130512962053
457,1,1.90369902857049
481,1,2.69389595608003
505,1,1.98739706944894
529,1,1.65001470698783
553,1,0.335269719787799
577,1,10.2393951127557
601,1,10.4734549761802
625,1,7.37774919307411
649,1,3.05590529247965
673,1,1.45573534378206
697,1,2.16056721123854
721,1,1.7574825118006
745,1,3.41470888033294
769,1,10.6882418149481
793,1,11.1717062716796
817,1,2.18952043515509
841,1,3.03505030517348
865,1,9.48735749632978
889,1,8.71801330245083
913,1,7.0227946630683
937,1,6.22351916205876
961,1,4.21271404934889
985,1,4.28319952437493
1009,1,8.55434095936191
1033,1,8.04490477546111
1057,1,3.65038167845337
1081,1,2.76806155389513
1105,1,1.58802002375749
1129,1,4.03612553537791
1153,1,3.79193837400934
1177,1,3.64931621766799
1201,1,4.42953438405765
1225,1,6.81163982022181
1249,1,9.34882232850214
1273,1,10.2978409109511
1297,1,7.6547878801355
1321,1,3.07801253903009
1345,1,6.12203946913821
1369,1,7.57494203128937
1393,1,6.31619023437005
1417,1,5.43120253628204
1441,1,4.1493373074679
1465,1,3.55057985972861
1489,1,6.373422396186
1513,1,9.81785147466649
1537,1,10.201756319934
1561,1,6.69828440430202
1585,1,3.07732308398566
1609,1,2.60959479677617
1633,1,2.21684921932479
1657,1,3.95216692180758
1681,1,4.30705568440457
1705,1,4.39731383440825
1729,1,5.26633682447862
1753,1,8.95893310662995
1777,1,8.55633906225047
1801,1,6.2632720518649
1825,1,1.06255963937197
1849,1,4.362237532422
1873,1,5.22200394148272
1897,1,5.67636468541217
1921,1,5.36711049909122
1945,1,6.57401188458417
1969,1,5.85334981202294
1993,1,3.29414404878079
2017,1,3.66723211374321
2041,1,4.00252237587956
2065,1,9.77805292960324
2089,1,10.851569191427
2113,1,9.54712836657411
2137,1,6.90861987248761
2161,1,2.36651599436191
2185,1,4.73248375787953
2209,1,3.46381672414207
2233,1,4.75056986956096
2257,1,3.57205095778269
2281,1,4.55618413068972
2305,1,5.82937806076532
2329,1,5.29593379172595
2353,1,4.33187704192346
2377,1,1.85220701387252
2401,1,6.53490850924276
2425,1,8.90633255145046
2449,1,6.24295502798931
2473,1,7.77520887027553
2497,1,5.9386638317243
2521,1,5.89687890861147
2545,1,2.36744475957769
2569,1,2.54088710699075
2593,1,2.35746074204512
2617,1,5.08327121638979
2641,1,5.77987975790715
2665,1,4.82853133448514
2689,1,5.57002007255848
2713,1,4.68352030519828
2737,1,5.27474501953413
2761,1,2.84792603099331
2785,1,5.12962719469426
2809,1,3.44184944137291
2833,1,2.9136177352553
2857,1,5.13598908573052
2881,1,5.59375353219026
2905,1,5.61904906951706
2929,1,5.89802859297643
2953,1,5.83062644651361
2977,1,6.00350465932024
3001,1,3.02664427181285
3025,1,2.34850292162506
3049,1,2.23457288091022
3073,1,4.58953050072639
3097,1,4.34140254501444
3121,1,3.7237113992125
3145,1,4.97651416357887
3169,1,2.73870784051063
3193,1,5.40728620105081
3217,1,6.72425733415793
3241,1,6.24887951316025
3265,1,5.44918316877046
3289,1,5.79729295223139
3313,1,5.27941836207639
3337,1,5.34416451884265
3361,1,7.2402671697796
3385,1,7.12753910610338
3409,1,4.58134761509275
3433,1,3.74068093296186
3457,1,3.30833901772644
3481,1,3.59590025783065
3505,1,2.9647296641531
3529,1,3.00895400162178
3553,1,3.22247578099522
3577,1,3.43981592889825
3601,1,2.44001367395073
3625,1,3.98011875283469
3649,1,4.52810844260891
3673,1,5.21751193664195
3697,1,5.90588950618758
3721,1,5.54425231061924
3745,1,7.48211888108449
3769,1,8.61949666836902
3793,1,9.61125785390702
3817,1,7.68437328556429
3841,1,8.64394368748568
3865,1,10.155265557583
3889,1,8.80542209622616
3913,1,10.7585129731035
3937,1,9.6544978794978
3961,1,3.92889356095387
3985,1,1.56097598180186
4009,1,2.3718728435264
4033,1,3.98701503028209
4057,1,4.51650177709475
4081,1,3.88702143820636
4105,1,4.53587553244889
4129,1,5.41657400003186
4153,1,6.29638415180085
4177,1,3.94154221169982
4201,1,4.90379283223179
4225,1,3.64251482113245
4249,1,5.25178733218672
4273,1,5.82469113301061
4297,1,6.36343791884802
4321,1,6.09573669532965
4345,1,4.28632688557807
4369,1,4.21353050787536
4393,1,5.82557826992479
4417,1,6.00152207729006
4441,1,5.26734642245571
4465,1,4.75589522248298
4489,1,4.52056174190146
4513,1,3.49593202080819
4537,1,1.69210254180019
4561,1,2.91170279494468
4585,1,2.96873141658277
4609,1,5.50122803703263
4633,1,6.8384966265668
4657,1,6.53995249850598
4681,1,5.89171503948933
4705,1,5.11050093301468
4729,1,2.85217404737254
4753,1,3.65202210458368
4777,1,11.1538886740739
4801,1,13.8745339869077
4825,1,11.0820208026119
4849,1,3.45153482417649
4873,1,4.54710716551988
4897,1,3.94632116071414
4921,1,2.84167327166386
4945,1,4.58466193657192
4969,1,5.09939535742387
4993,1,5.9878430821035
5017,1,3.2680655833651
5041,1,3.18257887569612
5065,1,3.89835079597148
5089,1,3.96306098571213
5113,1,3.97457114617699
5137,1,4.04883821032721
5161,1,4.07302577612022
5185,1,2.78759402236495
5209,1,3.10876996526672
5233,1,6.33099766500096
5257,1,5.95269528007941
5281,1,5.86318782686165
5305,1,5.72826143039334
5329,1,5.75435886972914
5353,1,4.07757554322912
5377,1,3.80831896042614
5401,1,7.88283934056179
5425,1,8.91904588474317
5449,1,9.21183776266742
5473,1,7.72117243868281
5497,1,3.07385982766582
5521,1,2.75159604614943
5545,1,6.55341680214284
5569,1,7.70026933112625
5593,1,10.6074851386744
5617,1,12.2424010613434
5641,1,12.7010489592664
5665,1,6.52350665747976
5689,1,5.32408246113688
5713,1,7.50046836543545
5737,1,9.33992367695947
5761,1,7.08176185668823
5785,1,2.06917042375952
5809,1,5.26617985308973
5833,1,6.12982099011537
5857,1,4.64175148823246
5881,1,6.86087479098474
5905,1,7.58289075382128
5929,1,5.5829120824592
5953,1,9.98063829791898
5977,1,9.17861494194582
6001,1,8.44402339515013
6025,1,3.34799442080317
6049,1,7.23830112688764
6073,1,7.87988624023142
6097,1,7.27512098056799
6121,1,6.13778097167566
6145,0,Inf
6169,0,Inf
6193,0,Inf
6217,0,Inf
6241,1,2.72621006583796
6265,1,3.58994342395636
6289,1,5.25269909638565
6313,1,4.28636600054105
6337,1,9.80725755223491
6361,1,10.5414748877907
6385,1,11.6892733914151
6409,1,9.40936225123893
6433,1,9.7011955666531
6457,1,5.9382973933929
6481,1,3.98223496848027
6505,1,4.88835852448465
6529,1,5.38654267966817
6553,1,5.70732387222191
6577,1,5.55192487383647
6601,1,7.00086515780782
6625,1,10.2500395190538
6649,1,7.68142454747294
6673,1,4.84863211349802
6697,1,5.15311039624504
6721,1,6.36773137587021
6745,1,5.62165501926863
6769,1,4.94653834584372
6793,1,3.85919529938808
6817,1,4.66011906136747
6841,1,4.3199286405869
6865,1,2.8977512040123
6889,1,5.26540765614316
6913,1,4.55547607573154
6937,1,4.38447486650702
6961,1,8.81105337807363
6985,1,8.0987765735811
7009,1,12.3614181005932
7033,1,13.4328338006378
7057,1,12.5187912855971
7081,1,9.19957582399303
7105,1,6.73494756431428
7129,1,6.89932173786251
7153,1,9.41531711708829
7177,1,9.43422777598331
7201,1,7.33496468569173
7225,1,8.13647298927004
7249,1,6.22453506823646
7273,1,6.48794705581716
7297,1,7.00318286165304
7321,1,8.54068006563121
7345,1,10.1693671712429
7369,1,7.55825709450537
7393,1,7.06153746204998
7417,1,8.21786323654748
7441,1,6.58634780607781
7465,1,5.09310916511094
7489,1,10.0980882265514
7513,1,11.6022287298985
7537,1,8.06653349244048
7561,1,5.97005590420523
7585,1,5.32465545017371
7609,1,5.74126631822087
7633,1,5.23839337135693
7657,1,6.88981008706463
7681,1,10.8958188934634
7705,1,10.7361578451668
7729,1,8.49118330824783
7753,1,6.84816869670374
7777,1,4.37979035820544
7801,1,4.03106523093385
7825,1,6.90537562329387
7849,1,9.7335838821437
7873,1,7.24974589626097
7897,1,8.60247218349791
7921,1,8.78268282097392
7945,1,3.64062956900253
7969,1,3.48062710631377
7993,1,3.27500101878539
8017,1,3.90874203292404
8041,1,5.63967601769519
8065,1,6.85180751227155
8089,1,4.35720434952928
8113,1,2.73302986209779
8137,1,0.918174420071544
8161,1,4.38017484925841
8185,1,5.30789795799295
8209,1,4.69282418997391
8233,1,5.89986068103336
8257,1,5.69172385526772
8281,1,9.89885676054376
8305,1,9.37698263951563
8329,1,4.95999988178876
8353,1,3.02374499051748
8377,1,2.50606018007968
8401,1,3.45797060402283
8425,1,4.68787743041191
8449,1,4.09459020017059
8473,1,6.25978860981719
8497,1,9.30459830527488
8521,1,9.24934279139731
8545,1,5.12610783755307
8569,1,9.24993191884526
8593,1,8.87084161561728
8617,1,2.14828203380624
8641,1,3.10040636633115
8665,1,6.13081368981332
8689,1,5.42007937834545
8713,1,3.53657327331571
