timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,21.6213717498581,-8.88178419700125e-16,25.8927728544419,19.8916620098694,0,29.1398174519855,0,0,24743.9076083614,2805.83512608408,-43799.0724822773,1,1,model_causal_myopic_1h_annual,0.455051267994444,-1.8692926645253e-17,0.544948732005556,1,140.291756304204,140.291756304204,0,66.3157894736842,0,0.89375,-8.88178419700125e-16,-1.56452073225317e-14,0,21.6213717498581,31.2245950806618,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,100.799664958098,-7.99360577730113e-15,25.3216873356844,92.7356917614501,0,28.5465921109482,0,0,41929.8620782221,3050.36318456417,-38879.4988936579,1,1,model_causal_myopic_1h_annual,0.799227594097619,-6.33802732996482e-17,0.200772405902381,1,152.518159228209,152.518159228209,0,0,0,0.89375,-7.99360577730113e-15,-1.40806865902785e-13,0,100.799664958098,30.5884942701108,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,115.624991456896,8.88178419700125e-16,23.6297861586084,106.374992140344,0,26.7883071973859,0,0,44324.1517123755,3309.18051634915,-41014.9711960263,1,1,model_causal_myopic_1h_annual,0.830312564041052,6.37808220952011e-18,0.169687435958948,1,165.459025817457,165.459025817457,0,0,0,0.89375,8.88178419700125e-16,1.56452073225317e-14,0,115.624991456896,28.7040343605618,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,175.487295316613,123.731868938958,-3.55271367880051e-15,25.3549043208892,113.833319423841,0,28.5818695133202,0,0,47010.931418382,3509.74590633226,-43501.1855120497,1,1,model_causal_myopic_1h_annual,0.829931899614612,-2.38298381614873e-17,0.170068100385388,1,175.487295316613,175.487295316613,0,0,0,0.89375,-3.55271367880051e-15,-4.69356219675953e-14,0,123.731868938958,30.6254263776553,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,126.152147329305,-2.39808173319034e-14,24.2464708609253,116.059975542961,0,27.4300437234936,0,0,46969.4159920575,3533.45954880957,-43435.9564432479,1,1,model_causal_myopic_1h_annual,0.838785281722088,-1.59448388691786e-16,0.161214718277912,1,176.672977440479,176.672977440479,0,0,-5.40012479177676e-14,0.89375,-2.39808173319034e-14,-4.22420597708356e-13,0,126.152147329305,29.3908301111734,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,134.746438944702,-6.21724893790088e-15,24.0269909221419,123.966723829126,0,27.2022525120563,0,0,48753.1399750184,3700.45562499659,-45052.6843500218,1,1,model_causal_myopic_1h_annual,0.848671210653494,-3.9157993520169e-17,0.151328789346506,1,185.022781249829,185.022781249829,0,0,5.40012479177676e-14,0.89375,-6.21724893790088e-15,-1.09516451257722e-13,0,134.746438944702,29.1463423051274,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,149.571247355176,0,24.6852108104713,137.605547566762,0,27.8868389312393,0,0,52368.7508816425,4011.61356643155,-48357.1373152109,1,1,model_causal_myopic_1h_annual,0.858339765020326,0,0.141660234979674,1,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,149.571247355176,29.8794309664017,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,224.991213716989,174.596486500346,-4.44089209850063e-15,24.133338664464,160.628767580318,0,27.313515761296,0,0,76883.1142095625,4499.82427433978,-72383.2899352227,1,1,model_causal_myopic_1h_annual,0.878562069661915,-2.23463795372322e-17,0.121437930338085,1,224.991213716989,224.991213716989,0,0,0,0.89375,-4.44089209850063e-15,-7.82260366126586e-14,0,174.596486500346,29.2647272166432,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,244.208103514808,200,-1.24344978758018e-14,17.6757271034112,184,0,21.5396876736494,0.787202505863149,0,82409.8438368247,4884.16207029616,-77525.6817665285,1,1,model_causal_myopic_1h_annual,0.91879789566517,-5.71239524096984e-17,0.08120210433483,1,244.995306020671,244.208103514808,0.787202505863149,0,0,0.89375,-1.24344978758018e-14,-2.19032902515444e-13,0,200,23.0781035148082,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,243.036278650967,200,6.21724893790088e-15,16.6747944988288,184,0,20.4462681353011,12.2480174081596,0,81863.1340676505,4860.72557301934,-77002.4084946312,1,1,model_causal_myopic_1h_annual,0.923042296925225,2.86939187009797e-17,0.076957703074775,1,255.284296059127,243.036278650967,12.2480174081596,0,0,0.89375,6.21724893790088e-15,1.09516451257722e-13,0,200,21.9062786509671,0,0,253.9768,1.30749605912667,0
