timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,timeUTC,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,3.36141533125378,3.36141533125378,0,0,0,0,0,0,0,0,0,0,0,18.128584668746,0,186496.461743927,186496.461743927,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,3.36141533125378,3.36141533125378,0,0,0,0.8,0,40000,0,0,0,0,18,0.128584668746043,2025-09-14 12:00:00,0,0,3.36141533125378
1,NORMAL,4.82222775856656,4.82222775856656,0,0,0,0,0,0,0,0,0,0,0,16.6677722414333,399.668327569998,166774.166969505,166374.498641935,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,4.82222775856656,4.82222775856656,0,0,0,0.8,0,40000,0,0,0,0,16.6677722414333,0,2025-09-14 13:00:00,0,0,4.82222775856656
2,NORMAL,6.48347077416645,6.48347077416645,0,0,0,0,0,0,0,0,0,0,0,15.0065292258332,898.041232250034,150194.961673816,149296.920441566,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,6.48347077416645,6.48347077416645,0,0,0,0.8,0,40000,0,0,0,0,15.0065292258332,0,2025-09-14 14:00:00,0,0,6.48347077416645
3,NORMAL,8.52263342132742,8.52263342132742,0,0,0,0,0,0,0,0,0,0,0,12.9673665786722,1509.79002639833,129844.118455149,128334.32842875,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,8.52263342132742,8.52263342132742,0,0,0,0.8,0,40000,0,0,0,0,12.9673665786722,0,2025-09-14 15:00:00,0,0,8.52263342132742
4,NORMAL,7.73787077416646,7.73787077416646,0,0,0,0,0,0,0,0,0,0,0,13.7521292258334,1274.36123224998,137676.049673817,136401.688441568,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,7.73787077416646,7.73787077416646,0,0,0,0.8,0,40000,0,0,0,0,13.7521292258334,0,2025-09-14 16:00:00,1.2544,0,6.48347077416645
5,NORMAL,7.75181533125378,7.75181533125378,0,0,0,0,0,0,0,0,0,0,0,13.7381846687458,1278.54459937626,137536.882994083,136258.338394707,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,7.75181533125378,7.75181533125378,0,0,0,0.8,0,40000,0,0,0,0,13.7381846687458,0,2025-09-14 17:00:00,4.3904,0,3.36141533125378
6,NORMAL,6.5856,6.5856,0,0,0,0,0,0,0,0,0,0,0,14.5444000000002,1036.67999999993,145575.712000002,144539.032000002,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,6.5856,6.5856,0,0,0,0.8,0,40000,0,0,0,0,14.5444000000002,0,2025-09-14 18:00:00,6.5856,0,0
7,NORMAL,10.5056,10.5056,0,0,0,0,0,0,0,0,0,0,0,10.6244000000002,2212.67999999995,106454.112000002,104241.432000002,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,10.5056,10.5056,0,0,0,0.8,0,40000,0,0,0,0,10.6244000000002,0,2025-09-14 19:00:00,10.5056,0,0
8,NORMAL,16.464,16.464,0,0,0,0,0,0,0,0,0,0,0,4.66600000000017,4000.19999999995,46989.2800000017,42989.0800000017,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,16.464,16.464,0,0,0,0.8,0,40000,0,0,0,0,4.66600000000017,0,2025-09-14 20:00:00,16.464,0,0
9,NORMAL,19.6,19.6,0,0,0,0,0,0,0,0,0,0,0,1.5300000000002,4940.99999999994,15692.000000002,10751.0000000021,1,1,PASS_STRICT,1,0,model_causal_typhoon_reserve_1h,0,0,0,0,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,0.8,40000,0,0,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,19.6,19.6,0,0,0,0.8,0,40000,0,0,0,0,1.5300000000002,0,2025-09-14 21:00:00,19.6,0,0
