timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,52.1476875393318,20,25.8927728544419,47.9758725361852,0,29.1398174519855,0,0,31484.1181346772,4038.88074877212,-42641.4299171716,1,1,model_causal_reserve_1h_annual,0.53189965989433,0.203997410045518,0.264102930060152,1,140.291756304204,140.291756304204,0,15.7894736842105,0,0.89375,20,40352.2987493394,0,52.1476875393318,31.2245950806618,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,80.7996649580979,20,25.3216873356844,74.3356917614501,0,28.5465921109482,0,0,37513.8620782221,4283.40880725221,-43221.6458022364,1,1,model_causal_reserve_1h_annual,0.640650163422655,0.158577430674964,0.200772405902381,1,152.518159228209,152.518159228209,0,0,0,0.89375,20,40704.5974986789,0,80.7996649580979,30.5884942701108,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,95.6249914568955,20,23.6297861586084,87.9749921403439,0,26.7883071973859,0,0,39908.1517123755,4542.22613903719,-45357.1181046048,1,1,model_causal_reserve_1h_annual,0.686690920730386,0.143621643310666,0.169687435958948,1,165.459025817457,165.459025817457,0,0,0,0.89375,20,41056.8962480183,0,95.6249914568955,28.7040343605618,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,175.487295316613,103.731868938958,20,25.3549043208892,95.4333194238412,0,28.5818695133202,0,0,42594.931418382,4742.7915290203,-47843.3324206282,1,1,model_causal_reserve_1h_annual,0.695781836784146,0.134150062830467,0.170068100385388,1,175.487295316613,175.487295316613,0,0,0,0.89375,20,41409.1949973578,0,103.731868938958,30.6254263776553,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,106.152147329305,20,24.2464708609253,97.659975542961,0,27.4300437234936,0,0,42553.4159920575,4766.50517149762,-47778.1033518263,1,1,model_causal_reserve_1h_annual,0.705805336555948,0.132979945166139,0.161214718277912,1,176.672977440479,176.672977440479,0,0,0,0.89375,20,41761.4937466972,0,106.152147329305,29.3908301111734,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,114.746438944702,20,24.0269909221419,105.566723829126,0,27.2022525120563,0,0,44337.1399750184,4933.50124768463,-49394.8312586002,1,1,model_causal_reserve_1h_annual,0.72270554992063,0.125965660732864,0.151328789346506,1,185.022781249829,185.022781249829,0,0,0,0.89375,20,42113.7924960366,0,114.746438944702,29.1463423051274,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,129.571247355176,20,24.6852108104713,119.205547566762,0,27.8868389312393,0,0,47952.7508816425,5244.65918911959,-52699.2842237894,1,1,model_causal_reserve_1h_annual,0.743566400460212,0.114773364560114,0.141660234979674,1,200.580678321577,200.580678321577,0,0,2.70006239588838e-14,0.89375,20,42466.0912453761,0,129.571247355176,29.8794309664017,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,224.991213716989,154.596486500346,20,24.133338664464,142.228767580318,0,27.313515761296,0,0,70259.1142095625,5732.86989702782,-74517.4368438012,1,1,model_causal_reserve_1h_annual,0.777922923104957,0.100639146556958,0.121437930338085,1,224.991213716989,224.991213716989,0,0,-2.70006239588838e-14,0.89375,20,42818.3899947155,0,154.596486500346,29.2647272166432,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,244.995306020671,180.787202505863,20,17.6757271034112,166.324226305394,0,21.5396876736494,0,0,76046.5653067666,6132.95174310147,-79904.8060949316,1,1,model_causal_reserve_1h_annual,0.827541783996053,0.0915487127988736,0.0809095032050728,1,244.995306020671,244.995306020671,0,0,0,0.89375,20,43170.688744055,0,180.787202505863,23.0781035148082,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,255.284296059127,192.24801740816,20,16.6747944988288,176.868176015507,0,20.4462681353011,0,0,79295.677433233,6338.73154387057,-82948.1384206289,1,1,model_causal_reserve_1h_annual,0.839794058996052,0.0873656925379985,0.072840248465949,1,255.284296059127,255.284296059127,0,0,0,0.89375,20,43522.9874933944,0,192.24801740816,21.9062786509671,0,0,253.9768,1.30749605912667,0
10,NORMAL,261.7972,261.7972,198.046014686542,20,17.2854869000597,182.202333511619,0,21.113827126825,0,0,81549.7536275952,6468.98962268804,-85071.9565361737,1,1,model_causal_reserve_1h_annual,0.841561853603612,0.084986497197189,0.0734516491991987,1,261.7972,261.7972,0,0,0,0.89375,20,43875.2862427338,0,198.046014686542,22.621185313458,0,0,261.7972,0,0
11,NORMAL,257.47125859082,257.47125859082,193.471739349985,20,17.1901304991901,177.994000201986,0,21.0098998872005,0,0,79982.7900163153,6382.47079450444,-83591.5117530774,1,1,model_causal_reserve_1h_annual,0.838767757655359,0.0867070054234693,0.0745252369211712,1,257.47125859082,257.47125859082,0,0,0,0.89375,20,44227.5849920733,0,193.471739349985,22.5095192408349,0,0,257.3284,0,0.142858590820011
