"RelativePath","Bytes","SHA256"
"build_v4_snapshot.ps1","8832","2596F255F348E1100692CCF6BB901366A4383CD6C84850CA8E7F4AC8F21353A7"
"chapter5_preparation\chapter5_readiness_report.csv","3369","2B13499FC144B21EF44B0EBD2C2860205F307FC8F0C31A83679EA2FCF089391C"
"chapter5_preparation\run_chapter5_readiness_audit.m","7374","D71D40984EB7788F48879058C71D6AF9A01FBCA1D38C53A79EA8C52B55ECCD8E"
"chapter5_preparation\第5章典型场景验证与四方案对比准备.md","12833","8CEACB571A3B02AF67916018830EAE469E2BC2A7CC9EF8CEABFB74CF7F1C677D"
"integration\common\v4_fill_port.m","933","A3FD70C296B0F2C414A700B1E275685103EF4BE2962CA049D692699F3BFA078A"
"library\4.1边界与口径\4.1系统边界与统一建模口径_V2.0_冻结版.md","12460","DF1272C96894B05AECD721A4661A95DC4937B1CE30E37001062F658E42AD2A1E"
"library\4.1边界与口径\蓝海枢纽_4.1边界与口径冻结表_V1.0.docx","42250","4D048778D676F10BA5B76254031E20518A6FFC95E0FE2B674A9379C2A6F66723"
"library\4.2变量与接口\4.1-4.2公共标准冻结说明_V2.0.md","3128","5D232EB67C838EFB0092DFB6E24E24AF8B609D465DA7A21A74BB7E885A825226"
"library\4.2变量与接口\4.2第四章全量变量与接口字典_V2.0_冻结版.md","17601","A14A25520DB4F59BBB5D7C45AED7065C453E24D59762BBFCA8B56DC4E3F701FC"
"library\4.2变量与接口\4.2冻结标准验收结果_V2.mat","1104","BC583724C605B562117F367D474AC7520966AD24A9CBD53BBFD8AF841915DDB6"
"library\4.2变量与接口\4.2算力接口语义增补_V2.0.md","1540","635E2188ADD6EFB50E3B162CBE034D6B33539F9EFEC6F768EA598029C8FE5A13"
"library\4.2变量与接口\4.3-4.7去重与验收清单.md","21198","0108F9AFF20B83DBEE4D2895C649714225844B472284A0A09EA4649B7033F349"
"library\4.2变量与接口\common_config_4_2.m","14814","9867AE17177E271C1A45B355D67EE0D8BA3B705720A16AE4623518C0CF315F8C"
"library\4.2变量与接口\common_dispatch_port_4_2.m","847","49ABF6A4CDB069E16E6C7766B4CA27BF4AA8249945B7599736CF66041B6B355A"
"library\4.2变量与接口\common_packet_4_2.m","1656","9D0405E23F3DDECC80F3A8D7BB84D29745465DB3065C4893EBCDFABB90D6A69C"
"library\4.2变量与接口\demo_validate_common_schema_4_2.m","867","90E84D8752CBB9169A28980D70353048BEA0527FF1D6E9018FF13A9126F72C1F"
"library\4.2变量与接口\MATLAB校验报告.md","1169","C34FB17E7EEB5788FA2E063132800C41130264705581CFFFF5290B4F73A80F9E"
"library\4.2变量与接口\run_all_tests_4_2.m","4686","B07F80AAA3D11797E846655E54B7300DEB9B198C8374FF1785EA4084CF8950F7"
"library\4.2变量与接口\validate_common_schema_4_2.m","13488","98204A9FE939A50C36896AB565D9C5158EDF069F2413E352329134580706DCBC"
"library\4.2变量与接口\validate_module_packet_4_2.m","8016","7F01121A77D8BB0EFC809F6065F9D5317A6F77B8652741FCDE9D6C8A20B34DB7"
"modules\4.3_source\demos\demo_portfolio_comparison_4_3_v3.m","1675","5EA2E720978B655BA134907ED788C3D16A2C7AFF3491007563A38219055242A9"
"modules\4.3_source\demos\demo_public_baseline_v2.m","11543","588D4119184B17FD62CEA1130D4A90E72C6E407BB42123EFD0425812F5E3E84F"
"modules\4.3_source\demos\demo_public_resource_audit_4_3.m","1519","11067A4C89441F672EF7BF0D19C1A25DFDA38DAEA92B62A25AF06132D8A01BFF"
"modules\4.3_source\demos\demo_version3_4_3.m","468","FF1D284EA689FA14D3BD1603F72CD34C87D474D98393D0A52C7766749A6BD360"
"modules\4.3_source\docs\4.3多能源供给模型完整报告_V3.md","21823","3AE0CA874E3F48F84056C6EBE3486E59B92909C23309E257546D93FFA7F035C9"
"modules\4.3_source\docs\4.3公开数据替代与证据清单.md","7298","038FBA6DE191C7942A364E3F58BF068B1EF6585F7572033C3371A01385A2EAB6"
"modules\4.3_source\docs\assets\figure_4_3_boundary_interface.png","88169","6596FBE370F401A4D0CC07211591E234AD139043454C394923DD9A79CE6215C2"
"modules\4.3_source\docs\assets\figure_4_3_device_to_poi.png","145925","2991B04DCEDB7B9D5B48D286A632BACCE2C55475E75348C5D3D9DBE4F24DF4EE"
"modules\4.3_source\docs\assets\figure_4_3_multiscale_metrics.png","127950","D3A52F0BF9CD1D25EA90594EDEBE86D2264EFE47559610F180208E5DDAB0D85C"
"modules\4.3_source\docs\assets\figure_4_3_scenario_fan_coverage.png","183687","A1418459F0CFC3A7CDB51EB83428D2142D20E730323318E599B0AE41C9ED7E1F"
"modules\4.3_source\docs\assets\figure_4_3_state_constraint.png","88745","7B6BD3F1EEA104D62A0444196A83D8A8BDCB9CC8321A88403AA4E3591E4B77F4"
"modules\4.3_source\docs\assets\figure_4_3_typical_extreme_output.png","240221","834A084D08927F3F8339D40C379BD66F5DFBBE483FDACF55451AC76CCFBB4399"
"modules\4.3_source\docs\V4代码取舍与来源说明.md","1310","4E13133519D880C11130FEB44B25D1E53CAECB8599A4FCE8971FA9F8102090EA"
"modules\4.3_source\docs\Version3修改与验收说明.md","2237","B7530730A0CEBA6AD9ADC3581433E019A4C7A38C596B8D9DF8748328FD2CAD0D"
"modules\4.3_source\docs\参数可识别性清单.md","6402","5518A0C7FB6D30D9BEB25B0B9781BF0CF212BAB6C12864574EA500A8633205DC"
"modules\4.3_source\docs\多能源互补体系_v2.3_4.3.md","13199","F11A93222940F28C2CDC69B22145441852E65FCC8E04B0AAD04C812E0F575B65"
"modules\4.3_source\docs\海洋能源岛源侧模型_v2.md","22038","D5D2427F3E51FE6F6FABFD9E56524D50BFF196B8F48DFC21B648BA82E8DD7B03"
"modules\4.3_source\integration\load_public_reference_resource_4_3.m","4063","6B06C89468CBB59771D47814C34346E28A9CA5B621DA002FC794B98F5116317E"
"modules\4.3_source\integration\v4_source_adapter.m","2778","DCDAB3B074E8B440FFF55A48BA0145DB03E5059DB7D7FBD85D71ADF39B1BCA84"
