timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,31.188605949506,2.59635594950596,0,0,7.618080005,18,0,2.381919995,0,0
1,32.5535081730945,3.95150817309447,0,0,7.618080005,18,0,2.381919995,0,0
2,33.5452016109016,4.94320161090162,0,0,7.618080005,18,0,2.381919995,0,0
3,33.1187294111753,4.51672941117529,0,0,7.618080005,18,0,2.381919995,0,0
4,24.166166013125,0,0,0,7.618080005,15.946086008125,0,0,2.053913991875,-3.88022947106492e-14
5,20.1495505210767,0,3.04869947892326,0,7.618080005,14.981919995,0,1.94289029309402e-15,3.018080005,0
6,22.0496018513491,0,1.13439814865093,0,7.618080005,14.981919995,0,1.38777878078145e-15,3.018080005,0
7,2.12048611597026,0,20,0,7.618080005,13.9829061109703,0,0,4.0170938890297,-3.65818486613989e-14
8,30.5056146231711,1.90361462317109,0,0,7.618080005,18,0,2.381919995,0,0
9,36.9759254685297,8.37392546852966,0,0,7.618080005,18,0,2.381919995,0,0
10,36.4645281172489,7.86252811724887,0,0,7.618080005,18,0,2.381919995,0,0
11,35.5517078152858,6.95870781528582,0,0,7.618080005,18,0,2.381919995,0,0
12,26.3114203666598,0,0,0,7.618080005,18,0,0.109340361659793,0,0
13,23.8695453024216,0,0,0,7.618080005,15.6524652974216,0,3.71924713249427e-15,2.3475347025784,0
14,25.8478681838627,0,0,0,7.618080005,17.6277881788627,0,2.77555756156289e-16,0.372211821137299,0
15,0,0,20,0,7.618080005,11.893919995,0,1.33226762955019e-15,6.106080005,0
16,12.7673093550132,0,8.11558285236959,0,7.618080005,12.7073122023828,0,0,5.2926877976172,-2.91988655476416e-14
17,32.9230436386777,4.32104363867769,0,0,7.618080005,18,0,2.381919995,0,0
18,31.1099328316047,2.52593283160472,0,0,7.618080005,18,0,2.381919995,0,0
19,31.7435664661173,3.14606646611731,0,0,7.618080005,18,0,2.381919995,0,0
20,13.0482226184558,0,9.01872125010074,0,7.618080005,13.8918638635566,0,0,4.1081361364434,-2.44804176929847e-14
21,14.8252870065553,0,0,0,7.618080005,6.6277070015553,0,0,11.3722929984447,-4.10782519111308e-15
22,23.4219630169904,0,0,0,7.618080005,15.2018830119904,0,0,2.7981169880096,-4.59077220682502e-14
23,22.621245154108,0,0,0,7.618080005,14.401165149108,0,4.64628335805628e-14,3.598834850892,0
