hour,wind_power_mw,critical_load_mw,electricity_price_cny_mwh,h2_demand_kg_h,tx_availability,electrolyzer_availability
1,430,85,260,900,1,1
2,410,82,240,900,1,1
3,390,80,230,900,1,1
4,380,78,220,900,1,1
5,420,80,230,900,1,1
6,480,85,260,950,1,1
7,560,90,320,950,1,1
8,650,95,380,1000,1,1
9,720,100,450,1000,1,1
10,760,105,520,1050,1,1
11,800,110,560,1050,1,1
12,820,115,580,1100,1,1
13,780,118,540,1100,1,1
14,730,120,500,1100,1,1
15,690,122,470,1100,1,1
16,640,120,430,1050,1,1
17,600,115,410,1050,1,1
18,570,110,460,1000,1,1
19,610,108,520,1000,1,1
20,680,105,600,1000,1,1
21,740,100,580,950,1,1
22,700,95,500,950,1,1
23,600,90,400,900,1,1
24,500,88,320,900,1,1
