scenarioId,category,item,value,unit,dataStatus
chapter5_all_channel_48h,cost,depreciationCostCNY,6358134.00183501,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,financingCostCNY,8442090.14765979,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,fixedOMCostCNY,4456171.77917808,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,replacementReserveCostCNY,2178769.38380312,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,sourceVariableOMCostCNY,213488.549797709,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,bessDegradationCostCNY,1448.86552787163,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,bessOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenVariableCostCNY,132703.181878032,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenPipeTransportCostCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,hydrogenShipTransportCostCNY,113745.584466885,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,electrolyzerStartCostCNY,80000,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,spillPenaltyCNY,132135.564537841,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,unservedPenaltyCNY,528756.368224214,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,computeSLAPenaltyCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,cost,computeVariableOMCNY,0,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,electricityRevenueCNY,1488198.28061271,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,hydrogenRevenueCNY,1053769.42665708,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,computeGrossRevenueCNY,1389012.70588235,CNY,[模型仿真结果；参数含假设值]
chapter5_all_channel_48h,revenue,marineServiceRevenueCNY,243337.308953274,CNY,[模型仿真结果；参数含假设值]
