scenarioId,category,indicator,value,unit,dataSourceType,calibrationStatus
chapter5_all_channel_48h,energy,sourceEnergyMWh,10674.4274898855,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessChargeEnergyMWh,120.881459939857,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessDischargeEnergyMWh,48.295517595721,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessInitialSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,storage,bessFinalSOC,0.9,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,electrolyzerEnergyMWh,2152.44561006169,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2ProducedKg,37915.194822295,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2DeliveredKg,37156.8909258491,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,hydrogen,h2DeliveryRatio,0.98,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeFacilityEnergyMWh,251.396640165,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeDeliveredMWhCS,233.64,MWh-CS,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeGrossRevenueCNY,1389012.70588235,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,compute,computeSLAPenaltyCNY,0,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineDemandMWh,864,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineServedMWh,811.124363177579,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineUnservedMWh,52.8756368224214,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,marine,marineServiceRatio,0.938801346270346,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,exportSendMWh,4661.69114338024,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,electricityDeliveredMWh,4288.75585190982,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,electricity,cableDeliveryRatio,0.92,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,spillEnergyMWh,2642.71129075683,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,renewableUtilization,0.758371516443705,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,totalCostCNY,22637443.4269086,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,totalRevenueCNY,4174317.72210541,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,economic,economicNetCostCNY,18463125.7048032,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,environment,lifecycleEmissionKgCO2e,198119.188161809,kgCO2e,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,reliability,EENSMWh,52.8756368224214,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,maxAbsBusResidualMW,3.05810932132999e-13,MW,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,terminalBessSOC,0.9,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,validation,terminalH2InventoryKg,0,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
chapter5_all_channel_48h,lifecycle_economic,grossCapexCNY,25638775946,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
