export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,17.9786635697036,0,0,0,120
0,18,18,0,0,0,120
0,18,18,0,0,0,120
0,18,18,0,0,0,120
0,18,13.745699607875,0,0,0,120
0,18,12.6,0,0,0,120
0,18,18,0,0,0,120
0,18,12.6,0,0,0,120
22.4010146340661,18,18,0,0,7.08,120
113.862836775413,18,18,0,0,7.08,120
112.381919995,18,18,375.640720730934,375.640720730934,7.08,120
112.381919995,18,18,679.822777460439,679.822777460439,7.08,120
112.381919995,18,18,789.007267335187,789.007267335187,7.08,120
112.381919995,18,18,486.063362990157,486.063362990157,7.08,120
112.381919995,18,18,729.629686225804,729.629686225804,7.08,120
0,18,12.6,0,0,0,120
47.7960148429732,18,18,0,0,7.08,120
112.381919995,18,18,1602.03109865675,1602.03109865675,7.08,120
112.381919995,18,18,1380.68574636662,1380.68574636662,7.08,120
112.381919995,18,18,1457.15105271836,1457.15105271836,7.08,120
112.381919995,18,18,980.594315251673,980.594315251673,7.08,120
112.381919995,18,18,1444.19244492389,1444.19244492389,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
173.951427811151,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
14.9516423144053,18,18,0,0,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
200,18,18,1761.4937466972,1761.4937466972,7.08,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
48.646951014791,18,18,0,0,7.08,120
91.4982160474424,18,18,0,0,7.08,120
112.381919995,18,18,840.403454922016,840.403454922016,7.08,120
112.381919995,18,18,727.566694255141,727.566694255141,7.08,120
