timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
0,31.3289567789744,31.188605949506,0.14225,0.636728651644336,12.596355949506,12.596355949506,0,0,0,0,0.799163453800767,31.9665381520307,0,0,0,0,0,0,0,0,0,0,NaN,0,2.4,4,0,8,0,313725.490196078,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55111512312578e-17,31.2856746528151,31.1453238233466,0.12,0.635618853537686,0,0,0.008,0,0.0432821261593275,0.0432821261593275,0.01425,0.00110979810664942
1,32.623684508336,32.5535081730945,0.152,0.669192585049736,4.24574931365194,4.24574931365194,0,0,0,0,0.9,36,0,0,0,0,0,0,9.70575885944254,7.618080005,7.08,0.538080005,1.07600000070621,7.08,1.71999997448082,2.55191827669421e-08,0,8,35810.5097518825,0.00200150453074056,18,18,0,0,2.08767885444254,2.08767885444254,1.92066454608714,0.167014308355403,0,0,0,0,2.08767885444254,0,2.08767885444254,0,0,0,0,-3.27515792264421e-15,31.6996633803999,31.6294870451584,0.12,0.645499735615478,0,0,0.008,0,0.924021127936068,0.924021127936068,0.024,0.0236928494342582
2,33.7031642343135,33.5452016109016,0.152,0.693934682250927,0,0,0,0,4.94320161090162,4.94320161090162,0.9,36,87.0741872626672,0,0,1.38447957747641,1,1,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,1.03999997448082,0,0,8,35810.5098039216,0,18,18,0,0,2.381919995,2.381919995,2.1913663954,0.1905535996,87.0741872626672,86.2034453900405,86.2034453900405,0,2.381919995,0,2.381919995,0,3.83026943495679e-15,0,0,0,31.8162321723425,31.7605701152658,0.12,0.648174900311547,0,0,0.008,0,1.88693206197103,1.78463149563583,0.024,0.0457597819393803
3,33.2911317976269,33.1187294111753,0.152,0.685311589239056,0,0,0,0,4.51672941117529,4.51672941117529,0.9,36,79.5619061330859,0,0,1.26503430751607,1,0,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,0.359999974480818,0,0,8,35810.5098039216,0,18,18,0,0,2.381919995,2.381919995,2.1913663954,0.1905535996,79.5619061330859,78.766287071755,78.766287071755,0,2.381919995,0,2.381919995,0,3.83026943495679e-15,0,0,0,31.3475921566099,31.3187294111753,0.12,0.63915774308521,0,0,0.008,0,1.94353964101697,1.8,0.024,0.0461538461538462
4,24.1733447811488,24.166166013125,0.152,0.500259272047638,0,0,0,0,0,0,0.9,36,0,0,0,0,0,0,5.56416601312496,5.56416240242776,5.13217163460888,0.431990767818881,1.08417309446663,4.29738804944125,2.46261192503957,0,0,8,24941.9548911509,0,18,18,0,0,3.61069720256069e-06,3.61069720256069e-06,3.32184142635583e-06,2.88855776204855e-07,0,0,0,0,3.61069720256069e-06,0,3.61069720256069e-06,0,2.77555756156289e-16,0,0,0,22.8146665760088,22.8146665760088,0.12,0.46560544032671,0,0,0.008,0,1.35867820514003,1.35149943711618,0.024,0.0346538317209277
5,20.1495505210767,20.1495505210767,0.14825,0.412196254679065,0,0,0,0,0,0,0.9,36,0,0,0,0,0,0,0,0,0,0,NaN,0,4.86261192503957,4,0,8,0,313725.490196078,18,18,0,1.55130052107674,1.55130052107674,1.55130052107674,1.4271964793906,0.124104041686139,0,0,0,0,0,0,0,0,3.71924713249427e-15,0,0,0,19.9620932841068,19.9620932841068,0.12,0.407389658859322,0,0,0.008,0,0.187457236969947,0.187457236969947,0.02025,0.00480659581974224
6,22.0496018513491,22.0496018513491,0.134,0.446579782909975,0,0,0,0,0,0,0.9,36,0,0,0,0,0,0,3.46560185134907,3.46559743374525,3.14122736557184,0.324370068173409,1.10326220627279,1.45318195081692,7.26261192503957,2.54681804918308,0,8,8639.3091664253,199750.435230045,18,18,0,0,4.41760381386658e-06,4.41760381386658e-06,4.06419550875725e-06,3.53408305109326e-07,0,0,0,0,4.41760381386658e-06,0,4.41760381386658e-06,0,0,0,0,-3.88578058618805e-16,21.3908634456335,21.3908634456335,0.12,0.436548233584357,0.658738405715551,0.658738405715551,0.008,0.0100315493256175,0,0,0.006,0
7,4.02601307360935,2.12048611597026,0.0695,0.0384965845195991,0,0,10.9990138840297,10.9990138840297,0,0,0.610552266209744,24.4220906483898,0,0,0,0,0,0,0,0,0,0,NaN,0,9.66261192503957,4,0,8,0,313725.490196078,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-1.0547118733939e-15,2.31386029097242,0.408333333333333,0.0375,0.00833333333333333,1.31937299144244,1.31937299144244,0.008,0.0200919744889712,0.392779791194485,0.392779791194485,0.024,0.0100712766972945
8,34.7937066988466,30.5056146231711,0.152,0.61837199520326,10.3999799563,10.3999799563,0,0,0,0,0.857551790171868,34.3020716068747,0,0,0,0,0,0,0,0,0,0,NaN,0,11.2626119250396,4,0,8,0,313725.490196078,18,18,0,1.50363466687113,1.50363466687113,1.50363466687113,1.38334389352144,0.12029077334969,0,0,0,0,0,0,0,0,2.77555756156289e-16,0,0,0,30.9413347835857,26.6578037223576,0.12,0.54403681066036,2.33626905771438,2.33626905771438,0.008,0.0355777013865134,1.51610285754647,1.51154184309907,0.024,0.0387574831563863
9,37.2764572659889,36.9759254685297,0.152,0.747240901704459,0,0,0,0,8.09026709000575,8.09026709000575,0.857551790171868,34.3020716068747,142.509548881553,0,0,2.26590182721669,1,1,10,7.618080005,7.08,0.538080005,1.07600000070621,7.08,9.78261192503957,0,0,8,35810.5098039216,0,18,18,0,0.28365837852391,2.66557837352391,2.66557837352391,2.452332103642,0.213246269881913,142.509548881553,141.084453392737,141.084453392737,0,2.381919995,0,2.381919995,0,3.83026943495679e-15,0,0,0,32.1674999110952,31.9346460671242,0.12,0.651727470757637,3.24127940140544,3.24127940140544,0.008,0.0493595847929762,1.8676779534883,1.8,0.024,0.0461538461538462
