timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2DeliveredKg,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,31.188605949506,12.596355949506,0,0,0.799163453800767,31.9665381520307,0,0,0,0,18,0,0,0,-5.55111512312578e-17
1,32.5535081730945,4.24574931365194,0,0,0.9,36,0,0,0,7.618080005,18,2.08767885444254,0,0,-3.27515792264421e-15
2,33.5452016109016,0,0,4.94320161090162,0.9,36,87.0741872626672,0,86.2034453900405,7.618080005,18,2.381919995,3.83026943495679e-15,0,0
3,33.1187294111753,0,0,4.51672941117529,0.9,36,79.5619061330859,0,78.766287071755,7.618080005,18,2.381919995,3.83026943495679e-15,0,0
4,24.166166013125,0,0,0,0.9,36,0,0,0,5.56416240242776,18,3.61069720256069e-06,2.77555756156289e-16,0,0
5,20.1495505210767,0,0,0,0.9,36,0,0,0,0,18,1.55130052107674,3.71924713249427e-15,0,0
6,22.0496018513491,0,0,0,0.9,36,0,0,0,3.46559743374525,18,4.41760381386658e-06,0,0,-3.88578058618805e-16
7,2.12048611597026,0,10.9990138840297,0,0.610552266209744,24.4220906483898,0,0,0,0,12.6,0,0,5.4,-1.0547118733939e-15
8,30.5056146231711,10.3999799563,0,0,0.857551790171868,34.3020716068747,0,0,0,0,18,1.50363466687113,2.77555756156289e-16,0,0
9,36.9759254685297,0,0,8.09026709000575,0.857551790171868,34.3020716068747,142.509548881553,0,141.084453392737,7.618080005,18,2.66557837352391,3.83026943495679e-15,0,0
10,36.4645281172489,0,0,7.86252811724887,0.857551790171868,34.3020716068747,138.497941117648,0,137.112961706472,7.618080005,18,2.381919995,3.83026943495679e-15,0,0
11,35.5517078152858,0,0,6.95870781528582,0.857551790171868,34.3020716068747,122.577203017189,0,121.351430987017,7.618080005,18,2.381919995,3.49720252756924e-15,0,0
12,26.3114203666598,0,0,0,0.857551790171868,34.3020716068747,0,0,0,7.618080005,18,0.109340361659792,0,0,-3.88578058618805e-16
13,23.8695453024216,0,0,0,0.857551790171868,34.3020716068747,0,0,0,5.27054107291576,18,4.22950584688664e-06,1.66533453693773e-16,0,0
14,25.8478681838627,0,0,0,0.857551790171868,34.3020716068747,0,0,0,7.24586597556134,18,2.20830135688743e-06,2.77555756156289e-16,0,0
15,0,0,13.088,0,0.513130737540289,20.5252295016116,0,0,0,0,12.6,0,0,5.4,-4.44089209850063e-16
16,12.7673093550132,0,0.390190644986815,0,0.502862562672215,20.1145025068886,0,0,0,0,12.6,0,0,5.4,-7.7715611723761e-16
17,32.9230436386777,0,0,0,0.502862562672215,20.1145025068886,0,0,0,0,18,14.3210436386777,0,0,-1.03805852802452e-14
18,31.1099328316047,0,0,0,0.502862562672215,20.1145025068886,0,0,0,7.618080005,18,4.90785282660472,3.1641356201817e-15,0,0
19,31.7435664661173,0,0,0,0.502862562672215,20.1145025068886,0,0,0,7.618080005,18,5.52798646111731,0,0,-3.38618022510673e-15
20,13.0482226184558,0,0.108777381544169,0,0.5,20,0,0,0,0,12.6,0,0,5.4,-1.38777878078145e-15
21,14.8252870065553,0,0,0,0.5,20,0,0,0,0,14.2457870065553,0,0,3.7542129934447,-4.10782519111308e-15
22,23.4219630169904,0,0,0,0.5,20,0,0,0,4.69943034882553,18,0.12053266816482,2.77555756156289e-16,0,0
23,22.621245154108,0,0,0,0.5,20,0,0,0,4.01924169342652,18,3.46068152445866e-06,2.77555756156289e-16,0,0
