timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2DeliveredKg,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,623.772118990119,15.3019390581717,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,467.175183908626,0,0
1,651.070163461889,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,509.580167438568,0,0
2,670.904032218032,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,529.414036194711,0,0
3,662.374588223506,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,520.884592200185,0,0
4,483.323320262499,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,341.833324239178,0,0
5,402.991010421535,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,261.576014398214,0,0
6,440.992037026981,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,299.86204100366,0,0
7,42.4097223194053,0,0,0,0.590855263157895,94.5368421052631,0,0,0,22.5697182946361,18,0,4.02476920741135e-06,0,0
8,610.112292463422,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,468.622296440101,0,0
9,739.518509370593,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,598.028513347272,0,0
10,729.290562344978,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,587.800566321656,0,0
11,711.034156305716,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,569.724160282395,0,0
12,526.228407333196,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,385.098411309875,0,0
13,477.390906048432,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,335.960910025111,0,0
14,516.957363677254,0,0,0,0.590855263157895,94.5368421052631,0,0,0,119.999996023321,18,0,375.467367653933,0,0
15,0,0,13.81,0,0.5,80,0,0,0,0,12.6,0,0,5.4,-9.43689570931383e-16
16,255.346187100264,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,114.746191076942,0,0
17,658.460872773554,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,516.970876750232,0,0
18,622.198656632094,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,481.068660608773,0,0
19,634.871329322346,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,493.471333299025,0,0
20,260.964452369117,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,120.374456345795,0,0
21,296.505740131106,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,155.465744107785,0,0
22,468.439260339807,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,326.949264316486,0,0
23,452.424903082161,0,0,0,0.5,80,0,0,0,119.999996023321,18,0,310.93490705884,0,0
