dc_power_mw,it_power_mw,dc_aux_power_mw,compute_served_mwh_cs,compute_queue_mwh_cs,rigid_unserved_mwh_cs,flex_overdue_mwh_cs,spot_dropped_mwh_cs,dc_online_min_mw,dc_online,compute_model_mode,pue,compute_gross_revenue_yuan,compute_sla_penalty_yuan,compute_variable_om_yuan,compute_electricity_transfer_yuan
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,sla,1,0,0,0,0
