timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
0,626.579135579488,623.772118990119,2.845,12.7345730328867,15.3019390581717,15.3019390581717,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,1,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,487.175179931947,0,0,0,625.713493056301,622.906476466933,2.4,12.7123770707537,0,0,0.16,0,0.865642523186551,0.865642523186551,0.285,0.0221959621329885
1,652.473690166719,651.070163461889,3.04,13.3838517009947,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,529.580163461889,0,0,0,633.993267607998,632.589740903168,2.4,12.9099947123096,0,0,0.16,0,18.4804225587214,18.4804225587214,0.48,0.473856988685163
2,674.063284686271,670.904032218032,3.04,13.8786936450185,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,549.414032218032,0,0,0,636.32464344685,635.211402305316,2.4,12.9634980062309,0,0,0.16,0,37.7386412394206,35.6926299127167,0.48,0.915195638787607
3,665.822635952537,662.374588223506,3.04,13.7062317847811,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,540.884588223506,0,0,0,626.951843132198,626.374588223506,2.4,12.7831548617042,0,0,0.16,0,38.8707928203394,36,0.48,0.923076923076923
4,483.466895622976,483.323320262499,3.04,10.0051854409527,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,361.833320262499,0,0,0,456.293331520176,456.293331520176,2.4,9.3121088065342,0,0,0.16,0,27.1735641028006,27.0299887423236,0.48,0.693076634418554
5,402.991010421535,402.991010421535,2.965,8.24392509358129,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,281.576010421535,0,0,0,399.241865682136,399.241865682136,2.4,8.14779317718645,0,0,0.16,0,3.74914473939894,3.74914473939894,0.405,0.0961319163948448
6,440.992037026981,440.992037026981,2.68,8.9315956581995,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,319.862037026981,0,0,0,427.81726891267,427.81726891267,2.4,8.73096467168715,13.174768114311,13.174768114311,0.16,0.200630986512351,0,0,0.12,0
7,80.5202614721871,42.4097223194053,1.39,0.769931690391981,0,0,0,0,22.5697223194053,22.5697223194053,0.590855263157895,94.5368421052631,397.564247303246,0,0,6.32127153212161,2,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,397.564247303246,393.588604830214,393.588604830214,0,0,0,0,0,3.27515792264421e-15,0,0,0,46.2772058194485,8.16666666666667,0.75,0.166666666666667,26.3874598288489,26.3874598288489,0.16,0.401839489779425,7.8555958238897,7.8555958238897,0.48,0.20142553394589
8,695.874133976931,610.112292463422,3.04,12.3674399040652,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,488.622292463422,0,0,0,618.826695671714,533.156074447153,2.4,10.8807362132072,46.7253811542876,46.7253811542876,0.16,0.711554027730267,30.3220571509294,30.2308368619813,0.48,0.775149663127727
9,745.529145319778,739.518509370593,3.04,14.9448180340892,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,618.028509370593,0,0,0,643.349998221904,638.692921342484,2.4,13.0345494151527,64.8255880281088,64.8255880281088,0.16,0.987191695859524,37.353559069766,36,0.48,0.923076923076923
