timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2DeliveredKg,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,623.772118990119,15.3019390581717,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,487.175179931947,0,0
1,651.070163461889,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,529.580163461889,0,0
2,670.904032218032,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,549.414032218032,0,0
3,662.374588223506,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,540.884588223506,0,0
4,483.323320262499,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,361.833320262499,0,0
5,402.991010421535,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,281.576010421535,0,0
6,440.992037026981,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,319.862037026981,0,0
7,42.4097223194053,0,0,22.5697223194053,0.590855263157895,94.5368421052631,397.564247303246,0,393.588604830214,0,18,0,3.27515792264421e-15,0,0
8,610.112292463422,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,488.622292463422,0,0
9,739.518509370593,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,618.028509370593,0,0
10,729.290562344978,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,607.800562344978,0,0
11,711.034156305716,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,589.724156305716,0,0
12,526.228407333196,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,405.098407333196,0,0
13,477.390906048432,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,355.960906048432,0,0
14,516.957363677254,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,0,18,0,395.467363677254,0,0
15,0,0,13.81,0,0.5,80,0,0,0,0,12.6,0,0,5.4,-9.43689570931383e-16
16,255.346187100264,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,134.746187100264,0,0
17,658.460872773554,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,536.970872773554,0,0
18,622.198656632094,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,501.068656632094,0,0
19,634.871329322346,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,513.471329322346,0,0
20,260.964452369117,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,140.374452369117,0,0
21,296.505740131106,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,175.465740131106,0,0
22,468.439260339807,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,346.949260339807,0,0
23,452.424903082161,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,0,18,0,330.934903082161,0,0
