scenarioId,category,indicator,value,unit,dataSourceType,calibrationStatus
asset_switch_H,energy,sourceEnergyMWh,11937.580592218,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,storage,bessChargeEnergyMWh,15.3019390581717,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,storage,bessDischargeEnergyMWh,13.81,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,storage,bessInitialSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,storage,bessFinalSOC,0.5,p.u.,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,hydrogen,electrolyzerEnergyMWh,2222.56972231941,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,hydrogen,h2ProducedKg,39150.4266746416,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,hydrogen,h2DeliveredKg,38758.9224078952,kg,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,hydrogen,h2DeliveryRatio,0.99,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,compute,computeFacilityEnergyMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,compute,computeDeliveredMWhCS,0,MWh-CS,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,compute,computeGrossRevenueCNY,0,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,compute,computeSLAPenaltyCNY,0,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,marine,marineDemandMWh,432,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,marine,marineServedMWh,426.6,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,marine,marineUnservedMWh,5.4,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,marine,marineServiceRatio,0.9875,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,electricity,exportSendMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,electricity,electricityDeliveredMWh,0,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,electricity,cableDeliveryRatio,NaN,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,reliability,spillEnergyMWh,9211.00893084043,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,reliability,renewableUtilization,0.249749125603247,fraction,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,economic,totalCostCNY,7948101.39066637,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,economic,totalRevenueCNY,1227183.03948791,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,economic,economicNetCostCNY,6720918.35117846,CNY,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,environment,lifecycleEmissionKgCO2e,217968.190986456,kgCO2e,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
asset_switch_H,reliability,EENSMWh,5.4,MWh,[模型仿真结果],MIXED_PUBLIC_REFERENCE_AND_UNCALIBRATED
