timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
0,18.7973740673846,18.7131635697036,0.2845,0.382037190986601,0,0,0,0,0,0,0.5,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,17.9786635697036,0.021336430296401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021336430296401,-2.43138842392909e-14,18.771404791689,18.687194294008,0.24,0.381371312122612,0,0,0.016,0,0.0259692756955965,0.0259692756955965,0.0285,0.000665878863989654
1,19.5742107050016,19.5321049038567,0.304,0.401515551029842,0.778104903856686,0.778104903856686,0,0,0,0,0.504619997866649,80.7391996586638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22044604925031e-15,19.0197980282399,18.977692227095,0.24,0.387299841369287,0,0,0.016,0,0.554412676761641,0.554412676761641,0.048,0.0142157096605549
2,20.2218985405881,20.127120966541,0.304,0.416360809350556,1.37312096654097,1.37312096654097,0,0,0,0,0.512772903605486,82.0436645768778,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22044604925031e-15,19.0897393034055,19.0563420691595,0.24,0.388904940186928,0,0,0.016,0,1.13215923718262,1.0707788973815,0.048,0.0274558691636282
3,19.9746790785761,19.8712376467052,0.304,0.411186953543434,1.11723764670518,1.11723764670518,0,0,0,0,0.519406502132798,83.1050403412477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22044604925031e-15,18.8085552939659,18.7912376467052,0.24,0.383494645851126,0,0,0.016,0,1.16612378461018,1.08,0.048,0.0276923076923077
4,14.5040068686893,14.499699607875,0.304,0.300155563228582,0,0,0,0,0,0,0.519406502132798,83.1050403412477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,13.745699607875,4.254300392125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.254300392125,-2.70894418008538e-14,13.6887999456053,13.6887999456053,0.24,0.279363264196026,0,0,0.016,0,0.815206923084017,0.810899662269708,0.048,0.0207922990325566
5,12.089730312646,12.089730312646,0.2965,0.247317752807439,0,0,1.25676968735395,1.25676968735395,0,0,0.511138280505469,81.7821248808751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-7.21644966006352e-16,11.9772559704641,11.9772559704641,0.24,0.244433795315593,0,0,0.016,0,0.112474342181968,0.112474342181968,0.0405,0.00288395749184534
6,44.0992037026981,44.0992037026981,0.268,0.89315956581995,25.3812037026981,25.3812037026981,0,0,0,0,0.661839177490239,105.894268398438,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49720252756924e-15,0,0,0,42.781726891267,42.781726891267,0.24,0.873096467168715,1.3174768114311,1.3174768114311,0.016,0.0200630986512351,0,0,0.012,0
7,10.4676339913843,5.51326390152268,0.1807,0.100091119750958,0,0,7.71743609847732,7.71743609847732,0,0,0.611066571579205,97.7706514526727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-8.32667268468867e-16,6.0160367565283,1.06166666666667,0.0975,0.0216666666666667,3.43036977775036,3.43036977775036,0.0208,0.0522391336713252,1.02122745710566,1.02122745710566,0.0624,0.0261853194129657
8,111.339861436309,97.6179667941475,0.4864,1.97879038465043,48.6624721550813,48.6624721550813,0,0,0,0,0.9,144,0,0,0,0,0,0,30.0190946390661,30.0190946390661,27.8902491270282,2.12884551203788,1.07632938315975,27.7060701814689,0,0,0,0,164715.303510223,0,18,18,0,0,3.90798504668055e-14,3.90798504668055e-14,3.59534624294611e-14,3.12638803734444e-15,0,0,0,0,3.90798504668055e-14,0,3.90798504668055e-14,0,6.10622663543836e-15,0,0,0,99.0122713074743,85.3049719115445,0.384,1.74091779411315,7.47606098468601,7.47606098468601,0.0256,0.113848644436843,4.85152914414871,4.83693389791701,0.0768,0.124023946100436
9,141.650537610758,140.508516780413,0.5776,2.83951542647695,0,0,0,0,0,0,0.9,144,0,0,0,0,0,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,1.48091678041271,1.48091678041274,1.48091678041274,1.36244343797972,0.118473342433019,0,0,0,0,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-2.15938378289593e-14,122.236499662162,121.351655055072,0.456,2.47656438887902,12.3168617253407,12.3168617253407,0.0304,0.18756642221331,7.09717622325554,6.84,0.0912,0.175384615384615
10,160.664461511546,160.443923715895,0.6688,3.2199991471464,0,0,0,0,21.3251237158951,21.3251237158951,0.9,144,375.640720730934,0,0,5.97268745962185,2,1,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,375.640720730934,368.127906316315,0,368.127906316315,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-6.93889390390723e-15,137.953261994414,137.953261994414,0.528,2.81537269376355,16.7444792680426,16.5239414723917,0.0352,0.251633626483122,5.96672024908934,5.96672024908934,0.1056,0.152992826899727
11,178.710898015508,177.758539076429,0.715,3.53310769634656,0,0,0,0,38.5935390764291,38.5935390764291,0.9,144,679.822777460439,0,0,10.809182161621,2,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,679.822777460439,666.22632191123,0,666.22632191123,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-7.93809462606987e-15,158.285213042768,158.03285410369,0.6,3.2251602878304,19.7,19,0.04,0.289340101522843,0.725684972739423,0.725684972739423,0.075,0.0186073069933186
12,185.159942566619,184.179942566619,0.938,3.62099333736909,0,0,0,0,44.7919425666186,44.7919425666186,0.9,144,789.007267335187,0,0,12.5452155506295,3,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,789.007267335187,773.227121988483,0,773.227121988483,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-2.31481500634345e-14,157.579942566619,157.579942566619,0.84,3.21591719523711,27.58,26.6,0.056,0.40507614213198,0,0,0.042,0
