timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2DeliveredKg,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,18.7131635697036,0,0,0,0.5,80,0,0,0,0,17.9786635697036,0,0,0.021336430296401,-2.43138842392909e-14
1,19.5321049038567,0.778104903856686,0,0,0.504619997866649,80.7391996586638,0,0,0,0,18,0,0,0,-2.22044604925031e-15
2,20.127120966541,1.37312096654097,0,0,0.512772903605486,82.0436645768778,0,0,0,0,18,0,0,0,-2.22044604925031e-15
3,19.8712376467052,1.11723764670518,0,0,0.519406502132798,83.1050403412477,0,0,0,0,18,0,0,0,-2.22044604925031e-15
4,14.499699607875,0,0,0,0.519406502132798,83.1050403412477,0,0,0,0,13.745699607875,0,0,4.254300392125,-2.70894418008538e-14
5,12.089730312646,0,1.25676968735395,0,0.511138280505469,81.7821248808751,0,0,0,0,12.6,0,0,5.4,-7.21644966006352e-16
6,44.0992037026981,25.3812037026981,0,0,0.661839177490239,105.894268398438,0,0,0,0,18,0,3.49720252756924e-15,0,0
7,5.51326390152268,0,7.71743609847732,0,0.611066571579205,97.7706514526727,0,0,0,0,12.6,0,0,5.4,-8.32667268468867e-16
8,97.6179667941475,48.6624721550813,0,0,0.9,144,0,0,0,30.0190946390661,18,3.90798504668055e-14,6.10622663543836e-15,0,0
9,140.508516780413,0,0,0,0.9,144,0,0,0,120,18,1.48091678041274,0,0,-2.15938378289593e-14
10,160.443923715895,0,0,21.3251237158951,0.9,144,375.640720730934,0,368.127906316315,120,18,2.8421709430404e-14,0,0,-6.93889390390723e-15
11,177.758539076429,0,0,38.5935390764291,0.9,144,679.822777460439,0,666.22632191123,120,18,2.8421709430404e-14,0,0,-7.93809462606987e-15
12,184.179942566619,0,0,44.7919425666186,0.9,144,789.007267335187,0,773.227121988483,120,18,2.8421709430404e-14,0,0,-2.31481500634345e-14
13,167.086817116951,0,0,27.5938171169512,0.9,144,486.063362990157,0,476.342095730354,120,18,2.8421709430404e-14,0,0,-4.94049245958195e-15
14,180.935077287039,0,0,41.4210772870389,0.9,144,729.629686225804,0,715.037092501288,120,18,2.8421709430404e-14,0,0,-1.82631687550838e-14
15,0,0,13.316,0,0.812394736842105,129.983157894737,0,0,0,0,12.6,0,0,5.4,-6.66133814775094e-16
16,89.3711654850923,14.7545706371191,0,0,0.9,144,0,0,0,53.326560035,18,2.08753481297317,1.12687636999453e-14,0,0
17,230.461305470744,0,0,90.9473054707439,0.9,144,1602.03109865675,0,1569.99047668361,120,18,2.8421709430404e-14,0,0,-1.82631687550838e-14
18,217.769529821233,0,0,78.3815298212331,0.9,144,1380.68574636662,0,1353.07203143929,120,18,2.8421709430404e-14,0,0,-2.31481500634345e-14
19,222.204965262821,0,0,82.7224652628211,0.9,144,1457.15105271836,0,1428.00803166399,120,18,2.8421709430404e-14,0,0,-1.2490009027033e-14
20,195.723339276837,0,0,55.6683392768375,0.9,144,980.594315251673,0,960.98242894664,120,18,2.8421709430404e-14,0,0,-2.15938378289593e-14
21,222.379305098329,0,0,81.9868050983295,0.9,144,1444.19244492389,0,1415.30859602541,120,18,2.8421709430404e-14,0,0,-1.58206781009085e-14
22,351.329445254855,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,110.599445254855,3.02591285361586e-13,0,0
23,339.318677311621,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,98.5886773116207,0,0,-1.00475183728577e-14
24,467.829089242589,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,27.2453392425894,0,0
25,488.302622596417,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,47.5726225964171,0,0
26,503.178024163524,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,62.4480241635242,0,0
27,496.780941167629,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,56.0509411676294,0,0
28,362.492490196874,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,121.762490196874,4.02067268368e-13,0,0
29,302.243257816151,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,61.5695078161512,0,0,-4.42423875313125e-14
30,440.992037026981,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,199.862037026981,3.07920355879787e-13,0,0
31,42.4097223194053,0,0,0,0.9,144,0,0,0,22.5697223194053,18,0,0,0,-3.93574062229618e-14
32,610.112292463422,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,168.622292463422,0,0
33,739.518509370593,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,298.028509370593,0,0
34,729.290562344978,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,287.800562344978,0,0
35,711.034156305716,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,269.724156305716,0,0
36,526.228407333196,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,85.0984073331958,0,0
37,477.390906048432,0,0,100,0.9,144,1761.4937466972,0,1726.26387176326,120,18,200,35.9609060484322,0,0
38,10.3391472735451,0,3.01485272645492,0,0.880165442589112,140.826470814258,0,0,0,0,12.6,0,0,5.4,-4.44089209850063e-16
39,0,0,13.126,0,0.793810179431218,127.009628708995,0,0,0,0,12.6,0,0,5.4,-2.22044604925031e-16
40,5.10692374200527,0,8.15807625799473,0,0.740138625102305,118.422180016369,0,0,0,0,12.6,0,0,5.4,-9.43689570931383e-16
41,13.1692174554711,0,0.184782544528924,0,0.738922950467246,118.227672074759,0,0,0,0,12.6,0,0,5.4,-4.44089209850063e-16
42,12.4439731326419,0,0.87402686735811,0,0.733172773708311,117.30764379333,0,0,0,0,12.6,0,0,5.4,-5.55111512312578e-17
43,12.6974265864469,0,0.647573413553079,0,0.728912422303357,116.625987568537,0,0,0,0,12.6,0,0,5.4,-8.32667268468867e-16
