assetName,scenarioEnabled,enabled,unit,interfaceLimit,installedCapacity,secondaryInstalledCapacity,secondaryUnit,dispatchRequestPeak,actualPeak,periodQuantity,equivalentFullLoadHours,periodUtilizationFraction,peakUtilizationFraction,idleFraction,capexCNY,capexShare,capacityStatus,designDetail
floatingWind,1,1,MW,680,680,NaN,,NaN,638.951741927929,11002.1625764226,16.1796508476802,0.674152118653343,0.939634914599896,0.325847881346657,13600000000,0.515825507645658,MATCHED_OR_SCENARIO_DEPENDENT,""
marineFloatingPV,1,1,MW,80,80,NaN,,NaN,76,546.276773960337,6.82845967450421,0.284519153104342,0.95,0.715480846895658,641287520,0.0243229750405018,MATCHED_OR_SCENARIO_DEPENDENT,""
tidalStream,1,1,MW,40,40,NaN,,NaN,36,389.141241835113,9.72853104587784,0.40535546024491,0.9,0.59464453975509,2173856000,0.0824507628491588,MATCHED_OR_SCENARIO_DEPENDENT,""
BESS,1,1,MW,80,80,160,MWh,15.3019390581717,15.3019390581717,13.81,0.172625,0.00719270833333333,0.191274238227147,0.992807291666667,455966296,0.0172940475076111,LOW_PERIOD_UTILIZATION,"power/energy pair"
PEMElectrolyzer,1,1,MW,100,100,NaN,,100,100,2199.44424804209,21.9944424804209,0.916435103350872,1,0.0835648966491283,716693150,0.027182985876832,MATCHED_OR_SCENARIO_DEPENDENT,""
hydrogenStorage,1,1,kg,200000,1761.4937466972,NaN,,0,0,0,NaN,0,0,1,13976703.1883037,0.000530113236567605,PROCESS_BUFFER_OR_DYNAMIC_INVENTORY_SIZING,"max(process buffer 1761.494 kg at 1.00 h, committed inventory 0.000 kg)"
subseaCompute,1,1,MW,120,121.88928008,113.28,MW-IT,120,119.999996023321,2662.5696308077,21.8441656974278,0.910173570726158,0.984499998232505,0.0898264292738422,4632661044.48,0.175709171692585,MATCHED_OR_SCENARIO_DEPENDENT,"16 units x 7.618080 MW facility"
powerExportCable,1,1,MW,200,200,NaN,,200,200,3852.58020291507,19.2629010145754,0.802620875607307,1,0.197379124392693,1350771494.47228,0.0512325288124595,MATCHED_OR_SCENARIO_DEPENDENT,"320 kV; 200 km"
converterAndSubstation,1,1,MW,200,200,NaN,,200,200,3852.58020291507,19.2629010145754,0.802620875607307,1,0.197379124392693,2726151290,0.103398409785523,MATCHED_OR_SCENARIO_DEPENDENT,"320 kV; 200 km"
fiberCable,1,1,MWh-CS/h,120,120,NaN,,110.720470206324,110.720470206324,2456.70494333352,20.472541194446,0.853022549768582,0.9226705850527,0.146977450231418,54141500,0.00205349755310275,MATCHED_OR_SCENARIO_DEPENDENT,"fiber delivery channel"
