strategyId,eventName,rowIndex,timeH,pSourceAvailableMW,sourceRampMWPerH,pBessChargeMW,pBessDischargeMW,bessSOC,pCableSendMW,pElectrolyzerMW,pComputeFacilityMW,pCurtailmentMW,dynamicValidationStatus,requiredOutputs,formulaStatus
mix_E100,MAX_BESS_DISCHARGE,13,12,171.700122098554,109.702647452263,0,69.7898779014459,0.251844301207205,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_BESS_CHARGE,36,35,771.872982921918,12.5179812658437,75,0,0.89375,200,0,20,455.382982921918,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MIN_BESS_SOC,14,13,202.558440856409,30.8583187578548,0,22.1303337834951,0.10625,183.198774639904,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,-0,0,0.10625,200,0,20,409.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,62.3935923897537,0.483265839541094,45.8400269024362,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_CABLE_SEND,13,12,171.700122098554,109.702647452263,0,69.7898779014459,0.251844301207205,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_ELECTROLYZER_LOAD,1,0,20.6135498942343,0,0,0.516450105765698,0.696602301935752,0,0,0,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,69.7898779014459,0.251844301207205,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E100,MAX_CURTAILMENT,35,34,759.355001656074,30.4024092373687,0,0,0.4484375,200,0,20,517.865001656074,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_BESS_DISCHARGE,38,37,19.6964741183834,-4.8799603942991,0,21.4335258816166,0.342255800846248,0,-7.105427357601e-15,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_BESS_CHARGE,48,47,219.854425538133,7.49101941709444,75,0,0.7,0,7.105427357601e-15,20,103.364425538133,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,18.5969442427042,0.10625,0,-3.5527136788005e-15,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,-0,0.468079669909216,0,100,20,509.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,16.5535654873175,0.483265839541094,0,-7.105427357601e-15,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_CABLE_SEND,1,0,20.6135498942343,0,0,0.520883150071337,0.696573137170583,0,0,0,0.00443304430563529,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_ELECTROLYZER_LOAD,25,24,389.606140570009,41.0804901567916,0,0,0.468079669909216,0,100,20,248.116140570009,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0,0.468079669909216,0,0,20,130.210122098554,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_H100,MAX_CURTAILMENT,36,35,771.872982921918,12.5179812658437,0,-0,0.592170875641867,0,100,20,630.382982921918,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_BESS_DISCHARGE,39,38,23.8540625140745,4.1575883956911,0,58.2205774859255,0.247376212123054,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_BESS_CHARGE,47,46,212.363406121039,9.33374108427569,75,0,0.7,0,0,20,95.8734061210385,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,21.4511842427043,0.10625,0,0,22.85424,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
