timeH,phase,windMeanMS,dniWPerM2,dhiWPerM2,ghiWPerM2,ambientTempC,seaWaterTempC,waveHeightM,tidalSpeedMS,computeBaseDemandMW,computeFlexibleMaxMW,electricityPriceCNYPerMWh,hydrogenPriceCNYPerKg,computePriceCNYPerMWhCS,pWind,pPV,pTidal,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessEnergyMWh,bessSOC,pComputeBaseServedMW,pComputeBaseUnservedMW,pComputeFlexibleMW,pComputeFacilityMW,nComputeOnline,pElectrolyzerMW,nElectrolyzerOnline,nElectrolyzerStart,h2ProducedKg,h2InventoryKg,h2PipeWithdrawnKg,h2ShipWithdrawnKg,pH2PowerMW,h2ToPowerConsumedKg,pCableSendMW,pCableReceivedMW,pMarineServedMW,pMarineUnservedMW,pInternalUnservedMW
0,P1_SHORTAGE_DISCHARGE,4.3,0,0,0,20,20,1.8,0.3,0,0,0,0,0,20.6135498942343,0,0,20.6135498942343,20.6135498942343,0,0,0.516450105765704,111.45636830972,0.696602301935752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1,P1_SHORTAGE_DISCHARGE,4.2,0,0,0,19.5,20.0260869565217,1.8,0.35,0,0,0,0,0,18.8344065270472,0,0,18.8344065270472,18.8344065270472,0,0,2.29559347295281,109.039954127665,0.681499713297905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2,P1_SHORTAGE_DISCHARGE,4.1,0,0,0,19,20.0521739130435,1.8,0.4,0,0,0,0,0,16.9831282390257,0,0,16.9831282390257,16.9831282390257,0,0,4.14687176097434,104.674825958218,0.654217662238863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
3,P1_SHORTAGE_DISCHARGE,4,0,0,0,18.5,20.0782608695652,1.8,0.45,0,0,0,0,0,15.8315349525676,0,0,15.8315349525676,15.8315349525676,0,0,5.29846504743237,99.0974943293419,0.619359339558387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
4,P1_SHORTAGE_DISCHARGE,4.2,0,0,0,18.5,20.104347826087,1.8,0.5,0,0,0,0,0,18.9406554320743,0,0,18.9406554320743,18.9406554320743,0,0,2.1893445679257,96.7929210999464,0.604955756874665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
5,P1_SHORTAGE_DISCHARGE,4.3,0,0,0,19,20.1304347826087,1.8,0.55,0,0,0,0,0,20.264583611767,0,0,20.264583611767,20.264583611767,0,0,0.865416388233045,95.8819564807537,0.599262228004711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
6,P2_PV_RISE_CHARGE,4,0,0,0,20,20.1565217391304,1.8,0.45,0,0,0,0,0,15.513172352089,0,0,15.513172352089,15.513172352089,0,0,5.61682764791098,89.9695063250579,0.562309414531612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
7,P2_PV_RISE_CHARGE,4,10,2,7.47728666954971,21,20.1826086956522,1.8,0.5,0,0,0,0,0,15.9689791845986,0.114006898583362,0,16.082986083182,16.082986083182,0,0,5.04701391681799,84.6568600968285,0.529105375605178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
8,P2_PV_RISE_CHARGE,3.9,20,5,21.0782912314547,22,20.2086956521739,1.8,0.55,0,0,0,0,0,14.0626243611429,0.915274282910835,0,14.9778986440538,14.9778986440538,0,0,6.15210135594623,78.1809639326746,0.488631024579216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
9,P2_PV_RISE_CHARGE,3.9,40,10,47.6284504233423,23,20.2347826086956,1.8,0.6,0,0,0,0,0,13.9177719725084,4.09285516195733,0,18.0106271344657,18.0106271344657,0,0,3.1193728655343,74.8974135479016,0.468108834674385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
10,P2_PV_RISE_CHARGE,3.8,80,20,99.2359887451412,24,20.2608695652174,1.8,0.65,0,0,0,0,0,12.627752786663,8.90077679356595,0,21.5285295802289,21.5285295802289,0,0.398529580228912,0,75.2760166491191,0.470475104056994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
11,P2_PV_RISE_CHARGE,4.2,400,80,479.859864387616,25,20.2869565217391,1.8,0.8,0,0,0,0,0,19.0000847224377,42.8545313330336,0.142858590820012,61.9974746462913,61.9974746462913,0,40.5074746462913,0,113.758117563096,0.710988234769349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
12,P3_COMPUTE_START,6,850,125,974.803648362556,26,20.3130434782609,1.6,1.2,20,100,250,0,900,89.5387067673003,78.8,3.36141533125379,171.700122098554,171.700122098554,0,0,0,113.758117563096,0.710988234769349,20,0,100,120,16,0,0,0,0,0,0,0,0,0,30.2101220985541,27.7933123306697,18,0,0
13,P3_COMPUTE_START,6.5,800,120,913.735239336723,27,20.3391304347826,1.6,1.3,20,100,250,0,900,119.044445573322,78.6917675245198,4.82222775856655,202.558440856409,202.558440856409,0,0,0,113.758117563096,0.710988234769349,20,0,100,120,16,0,0,0,0,0,0,0,0,0,61.0684408564088,56.1829655878961,18,0,0
14,P3_COMPUTE_START,7,650,100,715.899584491834,27.5,20.3652173913044,1.6,1.4,20,100,250,0,900,154.143783503916,62.6256889957483,6.48347077416645,223.252943273831,223.252943273831,0,0,0,113.758117563096,0.710988234769349,20,0,100,120,16,0,0,0,0,0,0,0,0,0,81.7629432738307,75.2219078119243,18,0,0
15,P3_COMPUTE_START,7.4,450,75,443.845758510491,27,20.3913043478261,1.6,1.5,20,100,250,0,900,193.224566306183,39.3393450801269,8.52263342132742,241.086544807637,241.086544807637,0,-0,0,113.758117563096,0.710988234769349,20,0,100,120,16,0,0,0,0,0,0,0,0,0,99.5965448076369,91.6288212230259,18,0,0
16,P3_COMPUTE_START,7.8,200,40,154.740100792491,26,20.4173913043478,1.6,1.4,20,100,250,0,900,237.161218884794,13.4653837713978,6.48347077416645,257.110073430359,257.110073430359,0,0,0,113.758117563096,0.710988234769349,20,0,100,120,16,0,0,0,0,0,0,0,0,0,115.620073430359,106.37046755593,18,0,0
17,P3_COMPUTE_START,8.3,50,15,25.9039212757408,25,20.4434782608696,1.6,1.2,20,100,250,0,900,294.463123229001,1.21337931875996,3.36141533125379,299.037917879015,299.037917879015,0,31.8335604598991,0,144,0.9,20,0,100,120,16,0,0,0,0,0,0,0,0,0,125.714357419116,115.657208825586,18,0,0
18,P4_CABLE_SATURATION,8.55,0,0,0,24,20.4695652173913,1.6,0.55,20,100,700,0,900,323.861037341205,0,0,323.861037341205,323.861037341205,0,0,17.2689626587949,125.82214456969,0.78638840356056,20,0,100,120,16,0,0,0,0,0,0,0,0,0,200,184,18,0,0
19,P4_CABLE_SATURATION,8.6,0,0,0,23,20.495652173913,1.6,0.5,20,100,700,0,900,326.048594925812,0,0,326.048594925812,326.048594925812,0,0,15.0814050741882,109.946981333702,0.687168633335638,20,0,100,120,16,0,0,0,0,0,0,0,0,0,200,184,18,0,0
20,P4_CABLE_SATURATION,8.65,0,0,0,22,20.5217391304348,1.6,0.45,20,100,700,0,900,332.820580717895,0,0,332.820580717895,332.820580717895,0,0,0,109.946981333702,0.687168633335638,20,0,100,120,16,0,0,0,0,0,0,0,0,0,191.690580717895,176.355334260464,18,0,0
21,P4_CABLE_SATURATION,8.7,0,0,0,21.5,20.5478260869565,1.6,0.4,20,100,700,0,900,340.384205469791,0,0,340.384205469791,340.384205469791,0,0,0.745794530209256,109.161934459798,0.682262090373735,20,0,100,120,16,0,0,0,0,0,0,0,0,0,200,184,18,0,0
22,P4_CABLE_SATURATION,8.75,0,0,0,21,20.5739130434783,1.6,0.45,20,100,700,0,900,344.455670968732,0,0,344.455670968732,344.455670968732,0,3.32567096873231,0,112.321321880093,0.702008261750583,20,0,100,120,16,0,0,0,0,0,0,0,0,0,200,184,18,0,0
23,P4_CABLE_SATURATION,8.8,0,0,0,20.5,20.6,1.6,0.55,20,100,700,0,900,348.525650413217,0,0,348.525650413217,348.525650413217,0,7.39565041321748,0,119.34718977265,0.745919936079062,20,0,100,120,16,0,0,0,0,0,0,0,0,0,200,184,18,0,0
24,P5_ELECTROLYSIS_START,9.15,0,0,0,20,20.5,1.7,0.9,20,100,700,50,900,388.964095139691,0,0.642045430317655,389.606140570009,389.606140570009,0,0,51.8838594299909,64.7326008989752,0.404578755618595,20,0,100,120,16,100,5,5,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
25,P5_ELECTROLYSIS_START,9.3,0,0,0,19.5,20.4782608695652,1.7,1,20,100,700,50,900,406.343608179147,0,1.33267255336529,407.676280732512,407.676280732512,0,0,33.8137192674882,29.139212196356,0.182120076227225,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
26,P5_ELECTROLYSIS_START,9.45,0,0,0,19,20.4565217391304,1.7,1.1,20,100,700,50,900,419.235841162025,0,2.16247066953362,421.398311831559,421.398311831559,0,0,11.5322515865382,17,0.10625,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,191.440563418097,176.125318344649,18,0,0
27,P5_ELECTROLYSIS_START,9.55,0,0,0,18.5,20.4347826086957,1.7,1.2,20,100,700,50,900,431.432249515928,0,3.36141533125379,434.793664847182,434.793664847182,0,0,0,17,0.10625,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,193.303664847182,177.839371659407,18,0,0
28,P5_ELECTROLYSIS_START,9.55,0,0,0,18.5,20.4130434782609,1.7,1.3,20,100,700,50,900,432.823560725244,0,4.82222775856655,437.645788483811,437.645788483811,0,0,-0,17,0.10625,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,196.155788483811,180.463325405106,18,0,0
29,P5_ELECTROLYSIS_START,9.55,0,0,0,19,20.3913043478261,1.7,1.4,20,100,700,50,900,432.098576371266,0,6.48347077416645,438.582047145432,438.582047145432,0,0,0,17,0.10625,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,197.092047145432,181.324683373798,18,0,0
30,P6_ALL_CHANNELS_CURTAIL,12.2,20,10,13.7024939484684,20,20.3695652173913,2,1.8,20,100,700,50,900,634.342686167284,0.37527377280596,16.4043283357266,651.122288275817,521.49,129.632288275817,80,0,93,0.58125,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
31,P6_ALL_CHANNELS_CURTAIL,12.4,100,25,79.7728666954971,21,20.3478260869565,2,1.9,20,100,700,50,900,643.223702951135,7.0470544457564,19.5867155018544,669.857472898746,495.174210526316,174.68326237243,53.6842105263158,0,144,0.9,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
32,P6_ALL_CHANNELS_CURTAIL,12.6,250,45,245.978640393184,22,20.3260869565217,2,2,20,100,700,50,900,651.134195488488,22.5081979554306,22.7346333442739,696.377026788193,441.49,254.887026788193,-0,0,144,0.9,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
33,P6_ALL_CHANNELS_CURTAIL,12.8,450,70,493.3200672626,23,20.304347826087,2,2.1,20,100,700,50,900,657.831924167738,45.1370083449706,25.9836599059962,728.952592418705,441.49,287.462592418705,0,0,144,0.9,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
34,P6_ALL_CHANNELS_CURTAIL,13,650,95,738.792408554272,24,20.2826086956522,2,2.2,20,100,700,50,900,663.537314036311,66.6428977509629,29.1747898688002,759.355001656074,441.49,317.865001656074,0,0,144,0.9,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
35,P6_ALL_CHANNELS_CURTAIL,13,800,120,919.719728775232,25,20.2608695652174,2,2.2,20,100,700,50,900,663.898193053117,78.8,29.1747898688002,771.872982921918,441.49,330.382982921918,0,0,144,0.9,20,0,100,120,16,100,5,0,1761.4937466972,0,900,861.493746697199,0,0,200,184,18,0,0
36,P7_RENEWABLE_DROP,4.2,40,25,64.9907599229438,23,20.2391304347826,3.5,0.35,20,100,200,0,100,18.8653756388637,5.71105887381886,0,24.5764345126825,24.5764345126825,0,0,16.5535654873175,126.575194223876,0.791094963899227,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
37,P7_RENEWABLE_DROP,4,30,20,49.7650714751271,22,20.2173913043478,3.7,0.3,20,100,200,0,100,15.3910208154081,4.3054533029753,0,19.6964741183834,19.6964741183834,0,0,68.2235527840528,54.7609281353997,0.342255800846248,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,46.7900269024362,43.0468247502413,18,0,0
38,P7_RENEWABLE_DROP,4.1,50,25,72.3768911147564,21,20.195652173913,3.4,0.4,20,100,200,0,100,17.4148276479182,6.43923486615634,0,23.8540625140745,23.8540625140745,0,0,17.2759374859255,36.575730781794,0.228598317386212,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
39,P7_RENEWABLE_DROP,4.3,20,15,31.3931448226885,20.5,20.1739130434783,3,0.5,20,100,200,0,100,20.5034163882394,2.02963936905634,0,22.5330557572957,22.5330557572957,0,0,18.5969442427043,17,0.10625,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
40,P8_RECOVERY_TERMINAL,6.4,0,0,0,20,20.1521739130435,2.6,1.1,20,0,0,0,0,113.212542129746,0,2.16247066953362,115.375012799279,115.375012799279,0,73.8564001746502,0,87.1635801659177,0.544772376036986,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0.02861262462892,0.0263236146586064,18,0,0
41,P8_RECOVERY_TERMINAL,6.6,0,0,0,19.5,20.1304347826087,2.4,1.2,20,0,0,0,0,124.871743927901,0,3.36141533125379,128.233159259155,67.6335998253498,60.5995594338048,26.1435998253498,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
42,P8_RECOVERY_TERMINAL,6.8,0,0,0,19,20.1086956521739,2.2,1.3,20,0,0,0,0,138.716381699633,0,4.82222775856655,143.5386094582,41.49,102.0486094582,0,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
43,P8_RECOVERY_TERMINAL,7,0,0,0,18.5,20.0869565217391,2,1.4,20,0,0,0,0,152.603251798461,0,6.48347077416645,159.086722572627,41.49,117.596722572627,0,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
44,P8_RECOVERY_TERMINAL,7.2,0,0,0,18.5,20.0652173913043,1.9,1.5,20,0,0,0,0,170.18551768146,0,8.52263342132742,178.708151102787,41.49,137.218151102787,0,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
45,P8_RECOVERY_TERMINAL,7.4,0,0,0,19,20.0434782608696,1.8,1.5,20,0,0,0,0,194.507031615435,0,8.52263342132742,203.029665036763,41.49,161.539665036763,0,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
46,P8_RECOVERY_TERMINAL,7.5,0,0,0,19.5,20.0217391304348,1.8,1.4,20,0,0,0,0,205.879935346872,0,6.48347077416645,212.363406121039,41.49,170.873406121039,0,0,112,0.7,20,0,0,20,3,0,0,0,0,-0,0,0,0,0,0,0,18,0,0
47,P8_RECOVERY_TERMINAL,7.6,0,0,0,20,20,1.8,1.3,20,0,0,0,0,215.032197779566,0,4.82222775856655,219.854425538133,41.49,178.364425538133,0,0,112,0.7,20,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0
