latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.541664,114.45836,0.0,0,GMT,GMT

time,wave_height (m),wave_direction (°),wave_period (s),wind_wave_height (m),wind_wave_direction (°),wind_wave_period (s)
2025-06-01T00:00,1.42,118,6.35,0.12,76,1.65
2025-06-01T01:00,1.40,122,6.40,0.08,88,1.30
2025-06-01T02:00,1.36,125,6.40,0.06,101,0.90
2025-06-01T03:00,1.34,129,6.40,0.02,113,0.55
2025-06-01T04:00,1.32,133,6.40,0.02,125,0.30
2025-06-01T05:00,1.28,137,6.40,0.00,137,0.10
2025-06-01T06:00,1.26,141,6.40,0.00,149,0.00
2025-06-01T07:00,1.24,145,6.40,0.00,152,0.00
2025-06-01T08:00,1.20,149,6.35,0.00,155,0.00
2025-06-01T09:00,1.18,153,6.35,0.00,158,0.00
2025-06-01T10:00,1.16,156,6.35,0.02,162,0.45
2025-06-01T11:00,1.16,159,6.35,0.02,165,1.00
2025-06-01T12:00,1.14,162,6.35,0.04,169,1.45
2025-06-01T13:00,1.12,164,6.35,0.04,173,1.60
2025-06-01T14:00,1.12,166,6.30,0.06,177,1.55
2025-06-01T15:00,1.10,168,6.30,0.06,181,1.55
2025-06-01T16:00,1.08,170,6.30,0.08,186,1.55
2025-06-01T17:00,1.08,172,6.30,0.08,190,1.60
2025-06-01T18:00,1.06,174,6.30,0.10,195,1.65
2025-06-01T19:00,1.08,176,6.30,0.16,195,1.80
2025-06-01T20:00,1.08,178,6.30,0.20,195,2.00
2025-06-01T21:00,1.10,180,6.25,0.26,195,2.20
2025-06-01T22:00,1.12,182,6.15,0.34,195,2.45
2025-06-01T23:00,1.14,183,6.10,0.44,194,2.70
2025-06-02T00:00,1.16,185,6.00,0.52,194,2.85
2025-06-02T01:00,1.18,186,5.95,0.50,200,2.90
2025-06-02T02:00,1.22,188,5.95,0.50,206,2.85
2025-06-02T03:00,1.24,189,5.95,0.48,212,2.80
2025-06-02T04:00,1.24,190,6.00,0.44,219,2.70
2025-06-02T05:00,1.24,191,6.00,0.42,226,2.60
2025-06-02T06:00,1.24,192,6.05,0.38,233,2.50
2025-06-02T07:00,1.24,193,6.05,0.38,231,2.50
2025-06-02T08:00,1.26,193,6.05,0.38,228,2.50
2025-06-02T09:00,1.26,194,6.05,0.38,226,2.50
2025-06-02T10:00,1.28,194,6.10,0.38,222,2.50
2025-06-02T11:00,1.28,194,6.20,0.38,219,2.50
2025-06-02T12:00,1.30,194,6.25,0.38,215,2.50
2025-06-02T13:00,1.28,194,6.25,0.42,215,2.55
2025-06-02T14:00,1.28,194,6.25,0.44,216,2.65
2025-06-02T15:00,1.26,194,6.20,0.48,216,2.75
2025-06-02T16:00,1.28,194,6.20,0.52,216,2.85
2025-06-02T17:00,1.28,195,6.15,0.56,215,3.00
2025-06-02T18:00,1.30,195,6.15,0.60,215,3.05
2025-06-02T19:00,1.30,195,6.15,0.56,223,3.00
2025-06-02T20:00,1.30,195,6.15,0.52,231,2.90
2025-06-02T21:00,1.30,195,6.15,0.48,239,2.75
2025-06-02T22:00,1.30,195,6.15,0.44,247,2.65
2025-06-02T23:00,1.30,195,6.20,0.38,256,2.55
2025-06-03T00:00,1.30,195,6.25,0.34,264,2.40
2025-06-03T01:00,1.30,194,6.30,0.24,242,2.10
2025-06-03T02:00,1.28,193,6.40,0.14,219,1.70
2025-06-03T03:00,1.28,192,6.50,0.04,197,1.30
2025-06-03T04:00,1.28,191,6.60,0.02,172,0.85
2025-06-03T05:00,1.28,190,6.65,0.02,147,0.35
2025-06-03T06:00,1.28,189,6.75,0.00,122,0.00
2025-06-03T07:00,1.30,189,6.85,0.00,144,0.00
2025-06-03T08:00,1.30,188,6.90,0.00,167,0.00
2025-06-03T09:00,1.32,188,6.95,0.00,189,0.00
2025-06-03T10:00,1.32,188,7.00,0.00,211,0.00
2025-06-03T11:00,1.32,188,7.00,0.00,234,0.00
2025-06-03T12:00,1.32,188,7.00,0.00,256,0.00
2025-06-03T13:00,1.26,188,6.90,0.00,227,0.00
2025-06-03T14:00,1.22,187,6.80,0.00,199,0.00
2025-06-03T15:00,1.16,187,6.70,0.00,170,0.00
2025-06-03T16:00,1.12,187,6.65,0.00,141,0.00
2025-06-03T17:00,1.10,186,6.65,0.00,113,0.00
2025-06-03T18:00,1.06,186,6.65,0.00,84,0.00
2025-06-03T19:00,1.06,186,6.70,0.02,87,0.45
2025-06-03T20:00,1.04,185,6.75,0.02,91,1.10
2025-06-03T21:00,1.04,185,6.90,0.04,94,1.55
2025-06-03T22:00,1.12,185,7.20,0.08,91,1.70
2025-06-03T23:00,1.22,185,7.55,0.10,89,1.70
2025-06-04T00:00,1.30,185,7.80,0.14,86,1.70
2025-06-04T01:00,1.28,184,7.80,0.16,83,1.75
2025-06-04T02:00,1.28,183,7.70,0.16,80,1.75
2025-06-04T03:00,1.26,182,7.55,0.18,77,1.80
2025-06-04T04:00,1.24,180,7.35,0.18,74,1.85
2025-06-04T05:00,1.24,178,7.05,0.18,71,1.85
2025-06-04T06:00,1.22,176,6.80,0.18,68,1.95
2025-06-04T07:00,1.26,166,6.55,0.26,67,2.15
2025-06-04T08:00,1.28,157,6.35,0.36,67,2.35
2025-06-04T09:00,1.32,147,6.15,0.44,66,2.65
2025-06-04T10:00,1.40,134,6.05,0.60,67,3.00
2025-06-04T11:00,1.46,122,6.00,0.74,69,3.35
2025-06-04T12:00,1.54,109,5.95,0.90,70,3.65
2025-06-04T13:00,1.56,105,5.95,0.92,72,3.75
2025-06-04T14:00,1.60,101,6.00,0.92,74,3.75
2025-06-04T15:00,1.62,97,6.00,0.94,76,3.75
2025-06-04T16:00,1.60,96,6.00,0.92,78,3.75
2025-06-04T17:00,1.60,96,5.95,0.92,79,3.75
2025-06-04T18:00,1.58,95,5.90,0.90,81,3.70
2025-06-04T19:00,1.58,94,5.90,0.86,80,3.65
2025-06-04T20:00,1.56,94,5.85,0.82,78,3.55
2025-06-04T21:00,1.56,93,5.85,0.78,77,3.45
2025-06-04T22:00,1.54,92,5.85,0.74,74,3.40
2025-06-04T23:00,1.54,91,5.85,0.70,72,3.30
2025-06-05T00:00,1.52,90,5.85,0.66,69,3.25
2025-06-05T01:00,1.50,89,5.85,0.64,66,3.20
2025-06-05T02:00,1.46,89,5.85,0.60,63,3.10
2025-06-05T03:00,1.44,88,5.85,0.58,60,3.05
2025-06-05T04:00,1.40,88,5.85,0.54,57,2.95
2025-06-05T05:00,1.36,88,5.85,0.52,53,2.85
2025-06-05T06:00,1.32,88,5.85,0.48,50,2.80
2025-06-05T07:00,1.30,89,5.85,0.50,55,2.80
2025-06-05T08:00,1.28,91,5.85,0.54,61,2.90
2025-06-05T09:00,1.26,92,5.85,0.56,66,2.95
2025-06-05T10:00,1.26,94,5.85,0.58,70,3.05
2025-06-05T11:00,1.24,96,5.85,0.60,75,3.10
2025-06-05T12:00,1.24,98,5.85,0.62,79,3.10
2025-06-05T13:00,1.22,102,5.90,0.54,82,2.95
2025-06-05T14:00,1.18,107,5.95,0.48,84,2.75
2025-06-05T15:00,1.16,111,6.00,0.40,87,2.55
2025-06-05T16:00,1.12,111,5.95,0.32,89,2.30
2025-06-05T17:00,1.10,110,5.90,0.26,90,2.05
2025-06-05T18:00,1.06,110,5.85,0.18,92,1.90
2025-06-05T19:00,1.04,109,5.85,0.18,87,1.85
2025-06-05T20:00,1.04,109,5.90,0.18,81,1.85
2025-06-05T21:00,1.02,108,5.90,0.18,76,1.90
2025-06-05T22:00,1.00,107,5.85,0.18,70,1.90
2025-06-05T23:00,0.96,107,5.80,0.20,63,1.95
2025-06-06T00:00,0.94,106,5.75,0.20,57,1.95
2025-06-06T01:00,0.94,106,5.75,0.18,54,1.90
2025-06-06T02:00,0.94,106,5.80,0.16,52,1.85
2025-06-06T03:00,0.94,106,5.85,0.14,49,1.75
2025-06-06T04:00,0.92,109,5.85,0.12,46,1.65
2025-06-06T05:00,0.90,111,5.85,0.10,44,1.55
2025-06-06T06:00,0.88,114,5.85,0.08,41,1.50
2025-06-06T07:00,0.86,118,5.90,0.06,55,1.45
2025-06-06T08:00,0.86,121,5.95,0.06,69,1.40
2025-06-06T09:00,0.84,125,6.00,0.04,83,1.40
2025-06-06T10:00,0.82,128,6.05,0.04,92,1.40
2025-06-06T11:00,0.82,132,6.15,0.04,100,1.45
2025-06-06T12:00,0.80,135,6.20,0.04,109,1.40
2025-06-06T13:00,0.78,136,6.20,0.04,120,1.30
2025-06-06T14:00,0.76,137,6.20,0.02,130,1.10
2025-06-06T15:00,0.74,138,6.20,0.02,141,0.90
2025-06-06T16:00,0.72,139,6.20,0.02,149,0.60
2025-06-06T17:00,0.70,140,6.20,0.00,157,0.25
2025-06-06T18:00,0.68,141,6.20,0.00,165,0.00
2025-06-06T19:00,0.66,142,6.20,0.00,184,0.00
2025-06-06T20:00,0.66,144,6.20,0.00,203,0.00
2025-06-06T21:00,0.64,145,6.20,0.00,222,0.00
2025-06-06T22:00,0.62,147,6.20,0.00,241,0.00
2025-06-06T23:00,0.60,148,6.20,0.00,260,0.00
2025-06-07T00:00,0.58,150,6.20,0.00,279,0.00
2025-06-07T01:00,0.58,151,6.20,0.00,305,0.00
2025-06-07T02:00,0.56,153,6.20,0.00,332,0.00
2025-06-07T03:00,0.56,154,6.20,0.00,358,0.00
2025-06-07T04:00,0.54,156,6.20,0.00,24,0.00
2025-06-07T05:00,0.54,157,6.25,0.00,51,0.00
2025-06-07T06:00,0.52,159,6.25,0.00,77,0.00
2025-06-07T07:00,0.52,160,6.25,0.00,91,0.00
2025-06-07T08:00,0.50,162,6.30,0.00,104,0.00
2025-06-07T09:00,0.50,163,6.30,0.00,118,0.00
2025-06-07T10:00,0.50,164,6.30,0.00,132,0.00
2025-06-07T11:00,0.48,166,6.35,0.00,146,0.00
2025-06-07T12:00,0.48,167,6.40,0.00,160,0.00
2025-06-07T13:00,0.48,168,6.50,0.00,167,0.00
2025-06-07T14:00,0.50,168,6.60,0.00,173,0.00
2025-06-07T15:00,0.50,169,6.70,0.00,180,0.00
2025-06-07T16:00,0.50,168,6.75,0.00,187,0.00
2025-06-07T17:00,0.48,167,6.75,0.00,193,0.00
2025-06-07T18:00,0.48,166,6.75,0.00,200,0.00
2025-06-07T19:00,0.48,166,6.70,0.00,198,0.00
2025-06-07T20:00,0.46,166,6.65,0.00,196,0.00
2025-06-07T21:00,0.46,166,6.65,0.00,194,0.00
2025-06-07T22:00,0.48,167,6.75,0.00,192,0.00
2025-06-07T23:00,0.48,167,6.85,0.00,189,0.00
