scenarioId,eCableReceivedMWh_24h,h2DeliveredKg_24h,eComputeServiceMWhCS_24h,eCurtailmentMWh_24h,curtailmentRate_24h,renewableUtilization_24h,ensMWh_24h,outputRevenueCNY_24h,operatingCostCNY_24h,economicNetCostCNY_24h,netGHGKgCO2e_24h,eCableReceivedMWh_48h,h2DeliveredKg_48h,eComputeServiceMWhCS_48h,eCurtailmentMWh_48h,curtailmentRate_48h,renewableUtilization_48h,ensMWh_48h,outputRevenueCNY_48h,operatingCostCNY_48h,economicNetCostCNY_48h,netGHGKgCO2e_48h,eCurtailmentMWhPerH_24h,eCurtailmentMWhPerH_48h,economicNetCostCNYPerH_24h,economicNetCostCNYPerH_48h,renewableUtilizationDelta48Minus24
mix_C100,0,0,8579.68428883836,2502.63153437135,0.203843195794587,0.796156804205413,0,4419442.14441918,205199.342286727,-4214242.80213245,-4355812.52205968,0,0,2943.11340790189,7720.91610179267,0.647265809395654,0.352734190604346,0,2679905.3928348,88829.0255108317,-2591076.36732397,-1838799.53885055,104.27631393214,160.852418787347,-175593.450088852,-53980.7576525826,-0.443422613601067
mix_E100,8493.20107120687,0,0,2502.63198540798,0.203843232532216,0.796156767467784,0,3076740.77170878,205199.208016591,-2871541.56369219,-4312570.96401446,4532.65947793102,0,0,5953.47901915316,0.49909665708678,0.50090334291322,0,2876929.36495005,126239.16857497,-2750690.19637508,-2606336.76717583,104.276332725333,124.030812899024,-119647.565153841,-57306.0457578141,-0.295253424554564
mix_E20_C80,1534.28025980373,0,7028.66609093058,2502.6316161494,0.203843202455535,0.796156797544465,0,4176328.29561718,205532.450513569,-3970795.84510362,-4347326.51979051,1897.78357853508,0,2899.6282527881,5696.36861955844,0.477542379238963,0.522457620761037,0,3773814.24227347,131688.488268649,-3642125.75400482,-2734748.38759865,104.276317339558,118.674346240801,-165449.826879317,-75877.6198751004,-0.273699176783428
mix_E20_H20_C60,1534.28025980373,32564.747363844,5293.1879753459,2502.63168624569,0.203843208164986,0.796156791835014,0,4232125.47306346,470000.850675958,-3762124.6223875,-3805234.94352694,1897.7854276678,10546.9790382244,2899.6282527881,5091.56660963157,0.426840149436396,0.573159850563604,0,4301163.19418469,257052.09936731,-4044111.09481738,-2831147.07239835,104.276320260237,106.074304367324,-156755.192599479,-84252.3144753621,-0.222996941271411
mix_E20_H40_C40,1545.6,64929.8797366836,3545.97607943512,2502.63176350445,0.203843214457831,0.796156785542169,0,4280322.62904991,748191.333553569,-3532131.29549634,-3261057.24051705,1897.78723588165,21276,2899.6282527881,4470.13264418173,0.374743616676579,0.625256383323421,0,4837614.24227347,400413.207776184,-4437201.03449729,-2929116.67664128,104.276323479352,93.1277634204527,-147172.137312347,-92441.6882186934,-0.170900402218748
mix_E20_H60_C20,1545.6,97383.6405258328,1798.76418352434,2502.63184697043,0.203843221256264,0.796156778743736,0,4327105.33707479,1043445.84455279,-3283659.492522,-2711988.90984843,1897.78400010669,21276,2096.65427509294,5340.74440514815,0.447729415084681,0.552270584915319,0,4114937.66234782,381165.914080762,-3733771.74826706,-2541331.97369851,104.276326957101,111.265508440587,-136819.14552175,-77786.9114222303,-0.243886193828417
mix_E20_H80,1545.6,130794.964398349,0,2502.63195897957,0.203843230379581,0.796156769620419,0,4375268.39033717,1425051.53077113,-2950216.85956604,-2146720.06941963,1971.37647971307,21276,0,7518.67447765568,0.630311333163212,0.369688666836788,0,2435977.36495005,337073.616293568,-2098903.74865648,-1562657.53531269,104.276331624149,156.639051617827,-122925.702481918,-43727.1614303433,-0.426468102783631
mix_E30_H30_C40,2366.48843065246,49250.7422934649,3560.84596791095,2502.63176632039,0.203843214687193,0.796156785312807,0,4127945.52083454,604197.053755163,-3523748.46707938,-3522145.02596598,2687.31256677153,15625.1097410604,2899.6282527881,3937.90064029762,0.330125131740532,0.669874868259468,0,5065434.74664139,353966.304816678,-4711468.44182471,-3259250.34077745,104.276323596683,82.0395966728672,-146822.852794974,-98155.5925380148,-0.126281917053339
mix_E40_C60,3216.56843065246,0,5330.36269653549,2502.63170518919,0.203843209707963,0.796156790292037,0,3910930.59370415,205199.291435571,-3705731.30226857,-4339435.96046242,3411.85619955034,0,2899.6282527881,4049.23721336413,0.339458785432806,0.660541214567194,0,4778299.28070054,165019.967929948,-4613279.31277059,-3466941.10835225,104.27632104955,84.3591086117527,-154405.470927857,-96109.9856827207,-0.135615575724843
mix_E40_H30_C30,3216.56843065246,49250.7422934649,2702.1099084314,2502.6318114644,0.203843218364243,0.796156781635757,0,3993555.25109477,604197.040316138,-3389358.21077863,-3517817.0013078,3411.85885171804,15625.1097410604,2899.6282527881,3150.35033057315,0.264102605146149,0.735897394853851,0,5559554.76775356,369717.311011168,-5189837.45674239,-3609710.22860484,104.276325477683,65.6322985536074,-141223.258782443,-108121.613682133,-0.0602593867819067
mix_E40_H60,3216.56843065246,99441.3509995199,0,2502.63193929645,0.20384322877636,0.79615677122364,0,4065905.95978278,1057093.89674046,-3008812.06304233,-2668668.14854195,3826.10130399014,21276,0,5500.74733570963,0.461142904493211,0.538857095506789,0,3525625.36495005,377965.855469533,-3147659.50948052,-2459563.53205219,104.276330804019,114.598902827284,-125367.16929343,-65576.2397808441,-0.257299675716851
mix_E50_H30_C20,4066.64843065245,49659.5260919983,1821.36617100372,2502.63185732126,0.203843222099354,0.796156777900646,0,3859754.25090733,606908.347777626,-3252845.90312971,-3506572.97574113,4140.49746890041,15625.1097410604,2096.65427509294,3222.3518336358,0.270138690831205,0.729861309168795,0,5257502.18782791,368277.280949915,-4889224.906878,-3573622.57089438,104.276327388386,67.1323298674125,-135535.245963738,-101858.852226625,-0.0662954687318504
mix_E60_C40,4916.72843065246,0,3612.89057757638,2502.63179547722,0.203843217062063,0.796156782937937,0,3642150.05422459,205199.264557519,-3436950.78966708,-4330779.91114606,3903.68467788122,0,2899.6282527881,3514.64104126535,0.294642105718724,0.705357894281276,0,5139719.99694512,175711.891371923,-4964008.1055732,-3704836.40493621,104.276324811551,73.2216883596947,-143206.282902795,-103416.835532775,-0.0907988886566617
mix_E60_H20_C20,4916.72843065246,33476.8972847889,1828.80111524163,2502.63186659602,0.203843222854798,0.796156777145202,0,3699510.13005383,474274.482198065,-3225235.64785577,-3773504.160832,4140.49666586548,10546.9790382244,2096.65427509294,3516.43670649984,0.294792641315289,0.705207358684711,0,5003595.65268611,288943.548967357,-4714652.10371875,-3527252.13544151,104.276327774834,73.25909805208,-134384.818660657,-98221.918827474,-0.0909494184604908
mix_E60_H40,4916.72843065246,67539.9946493349,0,2502.63194708176,0.203843229410486,0.796156770589514,0,3751139.01369154,765503.265569561,-2985635.74812198,-3199734.58591645,4532.6631352778,21276,0,4727.24304377623,0.396297894524377,0.603702105475623,0,3940729.36495005,394963.888082508,-3545765.47686754,-2800705.05621856,104.276331128407,98.4842300786715,-124401.489505082,-73870.1141014071,-0.192454665113891
mix_E80_C20,6664.43427120687,0,1847.38847583643,2502.63188829021,0.203843224621823,0.796156775378177,0,3365852.930027,205199.236927806,-3160653.69309919,-4321881.7910007,4140.49481673237,0,2096.65427509294,4121.23871642714,0.345494871117892,0.654505128882108,0,4476246.70077489,163579.937868687,-4312666.7629062,-3430853.45064163,104.276328678759,85.8591399255653,-131693.903879133,-89847.2242272125,-0.141651646496069
mix_E80_H20,6664.43427120687,34664.6485819975,0,2502.63196074045,0.203843230523007,0.796156769476993,0,3425248.12589423,480273.198097289,-2944974.92779694,-3744834.04705776,4532.66132706376,10546.9790382244,0,5348.67700922627,0.448394427284211,0.551605572715789,0,3404278.31686127,251602.779673631,-3152675.53718764,-2702735.45197554,104.276331697519,111.430771025547,-122707.288658206,-65680.7403580758,-0.244551196761204
mix_H100,0,159796.197443972,0,2502.63198121843,0.203843232190971,0.796156767809029,0,4661420.15951104,1777406.64129013,-2884013.51822091,-1663932.40237915,0,20823.1664611591,0,9700.58599399035,0.813227026719595,0.186772973280405,0,1300358.32305795,266855.500392659,-1033502.82266529,-606426.160392838,104.276332550768,202.095541541466,-120167.229925871,-21531.308805527,-0.609383794528625
mix_H20_C80,0,30692.267042452,6943.99655649635,2502.63160236861,0.203843201333069,0.796156798666931,0,4472030.97157211,460210.771753819,-4011820.19981829,-3844891.33396724,0,10546.9790382244,2943.11340790189,7116.11596675882,0.596563736770567,0.403436263229433,0,3207254.34474602,214192.636609496,-2993061.70813652,-1935197.31403283,104.276316765359,148.252415974142,-167159.174992429,-62355.4522528442,-0.392720535437499
mix_H40_C60,0,62029.7564321214,5263.44819839423,2502.63167636718,0.203843207360366,0.796156792639634,0,4520487.99161207,728955.847779731,-3791532.14383234,-3317992.05714245,0,21276.0546385151,2943.11340790189,6494.68183902039,0.544467190405648,0.455532809594352,0,3743705.3928348,357553.745018371,-3386151.64781643,-2033166.65621273,104.276319848633,135.305871646258,-157980.505993014,-70544.8259961756,-0.340623983045282
