scenarioId,scenarioLabel,shareElectricity,shareHydrogen,shareCompute,totalProductCapacityMW,powerCableMW,electrolyzerMW,computeFacilityMW,secKWhPerKg,h2RatedProductionKgPerH,testScenarioId,horizonH,status,auditPass,exitflag,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,curtailmentRate,renewableUtilization,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,netGHGKgCO2e,minimumGfmPowerHeadroomMW,minimumGfmEnergyHeadroomMWh
mix_E100,"Power only",1,0,0,420,420,0,0,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,4532.65947793102,0,0,5953.47901915316,0.49909665708678,0.50090334291322,0,2876929.36495005,126239.16857497,-2750690.19637508,-2606336.76717583,-1.4210854715202e-14,0
mix_H100,"Hydrogen only",0,1,0,420,0,420,0,56.77,7398.27373612824,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,0,20823.1664611591,0,9700.58599399035,0.813227026719595,0.186772973280405,0,1300358.32305795,266855.500392659,-1033502.82266529,-606426.160392838,68.8478986440538,56.3850562355261
mix_C100,"Compute only",0,0,1,420,0,0,420,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,0,0,2943.11340790189,7720.91610179267,0.647265809395654,0.352734190604346,0,2679905.3928348,88829.0255108317,-2591076.36732397,-1838799.53885055,10.9340356116383,0
mix_E80_H20,"Power + hydrogen, power-led",0.8,0.2,0,420,336,84,0,56.77,1479.65474722565,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,4532.66132706376,10546.9790382244,0,5348.67700922627,0.448394427284211,0.551605572715789,0,3404278.31686127,251602.779673631,-3152675.53718764,-2702735.45197554,0,0
mix_E60_H40,"Power + hydrogen",0.6,0.4,0,420,252,168,0,56.77,2959.30949445129,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,4532.6631352778,21276,0,4727.24304377623,0.396297894524377,0.603702105475623,0,3940729.36495005,394963.888082508,-3545765.47686754,-2800705.05621856,0,0
mix_E40_H60,"Power + hydrogen, H2-led",0.4,0.6,0,420,168,252,0,56.77,4438.96424167694,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,3826.10130399014,21276,0,5500.74733570963,0.461142904493211,0.538857095506789,0,3525625.36495005,377965.855469533,-3147659.50948052,-2459563.53205219,0,0
mix_E20_H80,"Power + hydrogen, high-H2",0.2,0.8,0,420,84,336,0,56.77,5918.61898890259,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,1971.37647971307,21276,0,7518.67447765568,0.630311333163212,0.369688666836788,0,2435977.36495005,337073.616293568,-2098903.74865648,-1562657.53531269,0,0
mix_E80_C20,"Power + compute, power-led",0.8,0,0.2,420,336,0,84,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,4140.49481673237,0,2096.65427509294,4121.23871642714,0.345494871117892,0.654505128882108,0,4476246.70077489,163579.937868687,-4312666.7629062,-3430853.45064163,0,0
mix_E60_C40,"Power + compute, moderate compute",0.6,0,0.4,420,252,0,168,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,3903.68467788122,0,2899.6282527881,3514.64104126535,0.294642105718724,0.705357894281276,0,5139719.99694512,175711.891371923,-4964008.1055732,-3704836.40493621,6.77644721594721,0
mix_E40_C60,"Power + compute, compute-led",0.4,0,0.6,420,168,0,252,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,3411.85619955034,0,2899.6282527881,4049.23721336413,0.339458785432806,0.660541214567194,0,4778299.28070054,165019.967929948,-4613279.31277059,-3466941.10835225,0,0
mix_E20_C80,"Power + compute, high-compute",0.2,0,0.8,420,84,0,336,56.77,0,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,1897.78357853508,0,2899.6282527881,5696.36861955844,0.477542379238963,0.522457620761037,0,3773814.24227347,131688.488268649,-3642125.75400482,-2734748.38759865,10.9340356116383,0
mix_H80_C20,"Hydrogen + compute, H2-led",0,0.8,0.2,420,0,336,84,56.77,5918.61898890259,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,0,21276.043256329,2140.13943020672,7358.68249171403,0.616898761272514,0.383101238727486,0,3021028.81290915,340273.674478709,-2680755.13843044,-1644639.56333369,20.2191276102463,0
mix_H60_C40,"Hydrogen + compute, moderate compute",0,0.6,0.4,420,0,252,168,56.77,4438.96424167694,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,0,21276.0546385151,2943.11340790189,6494.68183902039,0.544467190405648,0.455532809594352,0,3743705.3928348,357553.745018371,-3386151.64781643,-2033166.65621273,17.5017945126825,0
mix_H40_C60,"Hydrogen + compute, compute-led",0,0.4,0.6,420,0,168,252,56.77,2959.30949445129,V5_ALL_CHANNEL_WEATHER_TASK_48H,48,PASS,1,1,11928.5091066399,0,21276.0546385151,2943.11340790189,6494.68183902039,0.544467190405648,0.455532809594352,0,3743705.3928348,357553.745018371,-3386151.64781643,-2033166.65621273,17.5017945126825,0
