hour,wind_power_mw,critical_load_mw,electricity_price_cny_mwh,h2_demand_kg_h,electrolyzer_power_mw,electrolyzer_on,export_power_mw,bess_charge_mw,bess_discharge_mw,bess_net_power_mw,bess_energy_mwh,h2_production_kg,h2_sale_kg,h2_shortage_kg,h2_inventory_kg,water_demand_m3,curtailment_mw,power_balance_residual_mw,h2_balance_residual_kg,operating_value_cny,start_event,solver_mode,data_source
1,430,85,260,900,0,-0,364,0,19,19,0,0,900,0,23100,0,0,0,0,121640,-0,MILP,DEMO_FIXED_SEED
2,410,82,240,900,0,-0,328,0,0,0,-0,0,900,0,22200,0,0,0,0,105720,0,MILP,DEMO_FIXED_SEED
3,390,80,230,900,100,1,190,20,0,-20,19,1761.4937466972,900,0,23061.4937466972,28.0077505724855,0,0,0,44534.7718865598,1,MILP,DEMO_FIXED_SEED
4,380,78,220,900,99.9999999999997,1,182,20,0,-20,38,1761.49374669719,900,0,23922.9874933944,28.0077505724854,0,-1.4210854715202e-14,0,60874.7718865599,0,MILP,DEMO_FIXED_SEED
5,420,80,230,900,34.5542631578959,1,303.340473684209,2.10526315789474,0,-2.10526315789474,40,608.671184743631,900,0,23631.658678138,9.67787183742373,0,2.1316282072803e-14,0,94637.9598007654,0,MILP,DEMO_FIXED_SEED
6,480,85,260,950,20,1,393,0,18,18,21.0526315789474,352.298749339439,950,0,23033.9574274775,5.60155011449709,0,2.48689957516035e-14,0,129446.954377312,0,MILP,DEMO_FIXED_SEED
7,560,90,320,950,20,1,470,0,20,20,0,352.298749339439,950,0,22436.2561768169,5.60155011449709,0,2.48689957516035e-14,0,177666.954377312,0,MILP,DEMO_FIXED_SEED
8,650,95,380,1000,55,1,500,0,-0,-0,0,968.82156068346,1000,0,22405.0777375004,15.404262814867,0,-3.5527136788005e-14,0,216609.124537608,-0,MILP,DEMO_FIXED_SEED
9,720,100,450,1000,99.9999999999999,1,500,20,-0,-20,19,1761.4937466972,1000,0,23166.5714841976,28.0077505724854,1.27897692436818e-13,0,0,248834.77188656,0,MILP,DEMO_FIXED_SEED
10,760,105,520,1050,100,1,500,20,0,-20,38,1761.4937466972,1050,0,23878.0652308948,28.0077505724855,34.9999999999999,0,0,284284.77188656,0,MILP,DEMO_FIXED_SEED
11,800,110,560,1050,99.9999999999999,1,500,-0,20,20,16.9473684210526,1761.4937466972,1050,0,24589.558977592,28.0077505724854,110,0,0,302034.77188656,0,MILP,DEMO_FIXED_SEED
12,820,115,580,1100,99.9999999999999,1,500,-0,5.17499999999999,5.17499999999999,11.5,1761.4937466972,1100,0,25251.0527242892,28.0077505724854,110.175,-4.2632564145606e-14,0,313529.52188656,0,MILP,DEMO_FIXED_SEED
13,780,118,540,1100,99.9999999999999,1,500,20,0,-20,30.5,1761.4937466972,1100,0,25912.5464709864,28.0077505724854,42.0000000000001,0,0,295574.77188656,0,MILP,DEMO_FIXED_SEED
14,730,120,500,1100,99.9999999999999,1,500,10,-0,-10,40,1761.4937466972,1100,0,26574.0402176835,28.0077505724854,-0,1.27897692436818e-13,0,276834.77188656,0,MILP,DEMO_FIXED_SEED
15,690,122,470,1100,68,1,500,0,0,0,40,1197.8157477541,1100,0,26671.8559654376,19.0452703892901,0,0,0,263807.644882861,0,MILP,DEMO_FIXED_SEED
16,640,120,430,1050,20,1,500,0,-0,-0,40,352.298749339439,1050,0,25974.1547147771,5.60155011449709,0,2.48689957516035e-14,0,245266.954377312,0,MILP,DEMO_FIXED_SEED
17,600,115,410,1050,20,1,465,0,-0,-0,40,352.298749339439,1050,0,25276.4534641165,5.60155011449709,0,2.48689957516035e-14,0,220916.954377312,0,MILP,DEMO_FIXED_SEED
18,570,110,460,1000,20,1,460,0,20,20,18.9473684210526,352.298749339439,1000,0,24628.752213456,5.60155011449709,0,2.48689957516035e-14,0,240366.954377312,0,MILP,DEMO_FIXED_SEED
19,610,108,520,1000,20,1,500,0,18,18,0,352.298749339439,1000,0,23981.0509627954,5.60155011449709,0,2.48689957516035e-14,0,288766.954377312,0,MILP,DEMO_FIXED_SEED
20,680,105,600,1000,75,1,500,-0,0,0,-0,1321.1203100229,1000,0,24302.1712728183,21.0058129293641,0,-1.4210854715202e-14,0,325376.07891492,0,MILP,DEMO_FIXED_SEED
21,740,100,580,950,100,1,500,20,0,-20,19,1761.4937466972,950,0,25113.6650195155,28.0077505724855,19.9999999999999,0,0,311734.77188656,0,MILP,DEMO_FIXED_SEED
22,700,95,500,950,92.8947368421054,1,500,12.1052631578947,0,-12.1052631578947,30.5,1636.33498048451,950,0,25800,26.0177261897036,0,-1.27897692436818e-13,0,272772.827568304,0,MILP,DEMO_FIXED_SEED
23,600,90,400,900,-4.13056113757193e-13,-2.27373675443232e-15,500,10,0,-10,40,-7.27595761418343e-12,900,0,24900,-1.15687726065516e-13,0,4.13056113757193e-13,0,227000,0,MILP,DEMO_FIXED_SEED
24,500,88,320,900,0,0,431,0,19,19,20,0,900,0,24000,0,0,0,0,164920,0,MILP,DEMO_FIXED_SEED
